district,month,group,policy_active,outcome,population
D21,35,far_control,0,62.2,1630
D22,0,far_control,0,47.052,1660
D22,1,far_control,0,49.454,1660
D22,2,far_control,0,51.409,1660
D22,3,far_control,0,51.695,1660
D22,4,far_control,0,48.481,1660
D22,5,far_control,0,48.371,1660
D22,6,far_control,0,47.278,1660
D22,7,far_control,0,47.74,1660
D22,8,far_control,0,46.655,1660
D22,9,far_control,0,45.151,1660
D22,10,far_control,0,44.307,1660
D22,11,far_control,0,46.87,1660
D22,12,far_control,0,48.502,1660
D22,13,far_control,0,50.424,1660
D22,14,far_control,0,49.234,1660
D22,15,far_control,0,52.52,1660
D22,16,far_control,0,53.607,1660
D22,17,far_control,0,54.519,1660
D22,18,far_control,0,53.992,1660
D22,19,far_control,0,50.95,1660
D22,20,far_control,0,50.245,1660
D22,21,far_control,0,50.345,1660
D22,22,far_control,0,50.145,1660
D22,23,far_control,0,50.919,1660
D22,24,far_control,0,48.899,1660
D22,25,far_control,0,52.142,1660
D22,26,far_control,0,51.054,1660
D22,27,far_control,0,54.68,1660
D22,28,far_control,0,51.934,1660
D22,29,far_control,0,52.664,1660
D22,30,far_control,0,50.247,1660
D22,31,far_control,0,51.499,1660
D22,32,far_control,0,49.711,1660
D22,33,far_control,0,50.075,1660
D22,34,far_control,0,49.877,1660
D22,35,far_control,0,49.629,1660
D23,0,far_control,0,51.338,1690
D23,1,far_control,0,52.48,1690
D23,2,far_control,0,55.767,1690
D23,3,far_control,0,56.002,1690
D23,4,far_control,0,53.587,1690
D23,5,far_control,0,53.975,1690
D23,6,far_control,0,50.308,1690
D23,7,far_control,0,51.667,1690
D23,8,far_control,0,49.922,1690
D23,9,far_control,0,50.871,1690
D23,10,far_control,0,50.854,1690
D23,11,far_control,0,47.929,1690
D23,12,far_control,0,51.499,1690
D23,13,far_control,0,55.421,1690
D23,14,far_control,0,55.957,1690
D23,15,far_control,0,58.282,1690
D23,16,far_control,0,56.613,1690
D23,17,far_control,0,56.879,1690
D23,18,far_control,0,56.325,1690
D23,19,far_control,0,54.37,1690
D23,20,far_control,0,52.369,1690
D23,21,far_control,0,51.873,1690
D23,22,far_control,0,53.443,1690
D23,23,far_control,0,53.975,1690
D23,24,far_control,0,56.942,1690
D23,25,far_control,0,59.276,1690
D23,26,far_control,0,57.992,1690
D23,27,far_control,0,60.845,1690
D23,28,far_control,0,61.285,1690
D23,29,far_control,0,58.445,1690
D23,30,far_control,0,54.266,1690
D23,31,far_control,0,51.486,1690
D23,32,far_control,0,52.888,1690
D23,33,far_control,0,51.111,1690
D23,34,far_control,0,53.269,1690
D23,35,far_control,0,58.107,1690
