person_id,severity,baseline_burden,access,age,support,followup_burden,contact_after,responded_after
P0464,8.96,65.26,1,32.8,1,73.01,2.5,0
P0465,4.29,55.95,1,33.9,0,69.78,1.84,0
P0466,5.53,48.58,0,30.9,1,59.6,2.28,1
P0467,0.36,45.75,0,46.5,0,61.87,2.91,0
P0468,3.66,39.5,1,56.4,1,37.78,2.96,1
P0469,9.83,75.69,1,64.6,1,81.87,3.28,0
P0470,2.64,50.3,0,35.8,1,50.58,2.56,1
P0471,4.01,47.84,1,25.9,1,53.18,2.96,1
P0472,1.09,37.92,1,28.1,1,23.19,2.95,1
P0473,1.51,43.33,0,36.7,0,41.39,1.71,1
P0474,5.04,70.62,1,68.7,1,70.23,3.18,0
P0475,2.64,56.03,0,51.7,0,56.57,1.98,0
P0476,2.75,47.66,1,50.6,0,59.45,1.61,1
P0477,2.19,44.02,0,28.8,0,42.34,0.52,1
P0478,9.68,76.49,1,63.8,1,101.9,2.76,0
P0479,8.25,57.36,1,68.1,1,72.72,2.57,0
P0480,0.34,41.54,1,53.8,0,55.33,1.88,1
P0481,2.29,47.73,0,70.0,0,51.58,1.2,1
P0482,9.26,60.21,0,32.8,1,69.96,2.87,0
P0483,9.98,65.89,1,56.4,1,75.5,3.92,0
P0484,6.19,60.73,0,25.4,1,67.7,2.98,0
P0485,0.12,36.66,1,22.6,0,30.52,1.95,1
P0486,3.4,44.55,1,44.7,0,60.52,1.57,0
P0487,4.44,42.9,1,60.6,0,51.68,2.4,1
P0488,3.12,50.27,1,48.7,0,63.1,1.8,1
P0489,1.51,30.53,1,45.3,0,28.36,2.3,1
P0490,9.31,49.67,0,65.7,1,71.12,2.3,1
P0491,5.97,61.41,1,40.5,1,57.55,3.61,0
P0492,3.69,41.07,0,42.2,1,44.21,2.85,1
P0493,5.1,65.26,1,67.6,1,67.12,2.61,0
P0494,9.27,69.1,0,22.6,1,82.58,3.05,0
P0495,6.37,63.6,0,41.6,1,63.33,3.26,1
P0496,8.2,64.0,0,37.8,1,72.55,2.95,0
P0497,4.11,55.28,0,60.8,1,49.75,2.52,1
P0498,8.65,59.88,1,65.6,1,64.45,3.32,1
P0499,0.08,42.64,1,48.0,0,54.67,1.14,1
P0500,3.83,66.94,0,46.0,0,83.81,2.02,0
P0501,3.29,40.26,1,67.4,0,41.93,2.22,1
P0502,5.24,48.74,1,65.7,1,67.82,2.59,0
P0503,1.86,44.12,1,51.7,1,45.15,3.35,1
P0504,8.15,70.74,0,27.1,1,86.81,2.97,0
P0505,0.83,31.17,0,35.7,0,30.23,2.07,1
P0506,8.0,52.54,1,62.3,1,52.97,2.61,1
P0507,5.66,48.19,1,23.8,1,75.2,2.53,1
P0508,9.37,63.33,1,47.0,1,87.45,2.94,0
P0509,0.33,44.79,1,60.7,1,41.47,2.48,1
P0510,5.48,48.83,1,26.4,1,53.99,3.07,1
P0511,1.35,50.48,1,58.5,1,62.91,2.98,0
P0512,4.26,49.48,0,58.2,1,52.29,3.29,1
P0513,9.81,78.35,0,51.5,0,104.39,1.59,0
P0514,9.04,65.31,0,42.0,1,81.9,1.83,0
P0515,1.41,47.98,0,57.6,0,43.2,2.2,1
P0516,3.67,47.58,0,62.5,0,63.72,1.66,0
P0517,6.82,55.21,0,47.0,0,69.82,2.0,0
P0518,9.94,67.3,1,21.0,1,80.5,3.18,0
P0519,0.72,43.14,1,60.3,0,34.35,1.74,1
P0520,5.54,61.55,1,62.8,1,65.26,3.23,0
P0521,9.45,73.1,1,50.6,1,83.62,3.16,1
P0522,1.21,50.93,1,35.3,0,48.14,2.4,1
P0523,8.96,68.21,0,27.7,1,85.31,2.95,0
P0524,4.79,53.16,1,34.4,1,78.13,2.77,1
P0525,9.02,56.8,0,43.9,1,75.29,3.52,0
P0526,7.95,60.55,1,53.2,1,76.29,3.44,0
P0527,2.4,50.56,1,69.3,1,47.32,3.23,1
P0528,8.05,63.45,1,60.2,1,70.72,3.06,0
P0529,8.06,61.01,1,54.0,1,73.54,3.28,0
P0530,4.34,63.76,1,39.6,1,78.9,3.11,0
P0531,5.24,54.02,0,45.6,0,64.63,2.06,0
P0532,8.1,52.09,1,36.0,1,73.21,2.31,0
P0533,4.17,59.33,1,60.3,0,66.91,2.32,0
P0534,8.7,71.86,1,50.2,1,81.5,2.63,0
P0535,6.05,72.03,1,34.9,1,84.37,2.66,0
P0536,6.45,50.64,0,58.0,1,66.81,2.49,1
P0537,6.41,50.41,0,52.5,1,53.4,2.58,1
P0538,8.22,64.99,0,22.1,1,72.3,2.92,0
P0539,8.84,76.33,1,29.7,1,94.58,2.99,0
P0540,3.65,45.07,1,46.5,1,50.2,3.51,1
P0541,4.82,59.96,0,60.2,1,62.91,3.03,1
P0542,7.55,60.88,1,49.0,1,76.62,2.7,0
P0543,8.86,70.0,1,43.4,1,79.53,3.08,0
P0544,8.04,65.56,0,38.3,1,86.36,2.13,0
P0545,4.11,67.82,0,66.6,0,75.55,1.89,0
P0546,0.57,55.31,0,47.6,1,55.59,2.1,1
P0547,9.6,79.99,0,49.4,1,98.77,2.55,0
P0548,2.16,47.62,0,66.2,0,48.39,2.04,1
P0549,8.39,69.64,1,53.6,1,74.63,2.3,0
P0550,2.22,49.73,1,28.0,0,51.75,1.8,0
P0551,1.76,42.32,0,63.7,0,44.55,2.0,1
P0552,0.97,43.59,0,69.5,0,43.5,2.37,1
P0553,9.01,65.7,0,35.1,1,72.59,3.41,1
P0554,8.53,50.83,1,42.3,1,50.59,3.43,1
P0555,8.17,43.76,1,45.2,1,58.03,1.71,1
P0556,8.66,64.13,1,48.0,1,79.71,3.34,0
P0557,8.01,61.46,0,50.4,1,75.6,2.22,0
P0558,0.24,31.98,0,41.0,0,27.28,1.33,1
P0559,6.71,53.84,0,56.9,1,62.54,2.16,0
P0560,5.6,51.8,0,28.2,1,64.18,3.24,1
P0561,7.7,65.69,0,32.8,1,73.93,1.97,0
P0562,1.29,49.47,0,30.1,1,36.55,2.78,1
P0563,8.75,68.31,1,50.7,1,68.9,2.46,1
P0564,0.05,45.07,1,35.5,0,48.68,2.48,1
P0565,9.09,75.35,0,42.5,1,86.93,3.27,1
P0566,1.39,36.78,1,41.1,0,36.08,1.53,0
P0567,3.15,47.66,1,42.6,0,66.35,2.1,0
P0568,8.98,72.72,1,51.1,1,78.43,3.0,0
P0569,7.77,55.75,0,36.4,1,65.35,2.11,1
P0570,3.37,33.25,1,28.7,1,33.61,2.77,1
P0571,8.35,67.44,0,37.9,1,82.81,2.66,1
P0572,4.13,45.8,0,22.0,1,63.59,2.66,0
P0573,6.32,49.6,1,33.2,1,73.57,2.34,0
P0574,3.91,59.96,1,44.2,1,59.89,3.62,1
P0575,9.29,73.08,1,36.9,1,79.24,2.86,0
P0576,3.56,53.2,0,39.3,1,54.24,2.92,1
P0577,0.55,36.6,1,39.8,0,34.79,1.74,1
P0578,3.65,44.06,1,59.7,1,47.2,2.37,1
P0579,6.17,46.73,1,56.0,1,64.41,2.38,1
P0580,4.11,47.0,1,27.2,1,49.48,3.32,1
P0581,6.51,62.93,0,56.8,1,73.54,3.93,0
P0582,4.33,67.33,1,31.9,0,80.38,1.42,0
P0583,3.23,51.59,1,25.6,1,60.02,2.45,1
P0584,3.76,43.22,0,47.1,1,51.09,2.59,1
P0585,5.05,50.46,1,44.1,0,55.54,1.99,1
P0586,8.3,74.91,1,60.5,1,94.14,3.04,1
P0587,1.07,47.36,0,53.3,0,68.07,1.82,1
P0588,8.06,64.67,1,36.6,1,77.37,2.72,0
P0589,3.42,39.15,1,55.0,1,39.2,2.36,1
P0590,7.04,60.74,0,69.7,1,61.64,2.74,1
P0591,3.57,48.38,1,29.9,1,54.11,2.49,1
P0592,1.15,48.38,1,46.2,0,53.25,1.46,1
P0593,9.15,72.54,1,28.6,1,88.45,1.81,0
P0594,8.05,65.89,1,29.4,1,68.21,1.95,0
P0595,3.88,51.7,0,26.9,0,61.21,1.94,1
P0596,8.59,77.4,1,38.6,1,106.08,2.54,0
P0597,7.92,61.51,1,20.9,1,82.8,2.96,0
P0598,7.39,68.04,0,20.4,0,66.43,1.69,1
P0599,2.8,50.22,1,53.5,1,51.49,2.95,0
P0600,5.03,53.49,1,45.7,1,39.65,3.28,1
P0601,2.57,35.86,0,53.7,0,35.9,1.51,1
P0602,3.19,33.35,0,44.3,0,44.98,2.29,1
P0603,8.28,64.37,0,55.9,1,70.77,2.75,0
P0604,4.41,63.85,0,59.0,0,73.78,1.63,0
P0605,0.74,43.72,0,67.0,0,38.43,2.41,1
P0606,5.11,58.27,1,47.6,1,67.76,2.73,0
P0607,6.32,51.25,0,54.8,1,61.05,2.41,1
P0608,6.04,49.43,0,45.0,1,47.29,2.87,1
P0609,2.03,48.52,0,48.4,0,54.84,2.13,0
P0610,3.32,57.87,0,60.9,0,48.78,1.73,1
P0611,0.87,42.16,1,67.5,0,46.03,1.52,1
P0612,5.67,63.33,1,25.7,1,69.09,2.62,0
P0613,5.57,65.7,1,66.3,1,67.77,3.11,1
P0614,4.89,49.9,1,57.9,1,54.13,3.24,0
P0615,9.56,62.23,1,39.8,1,73.99,2.89,0
P0616,2.11,45.11,1,67.6,1,45.17,2.78,1
P0617,0.21,48.46,1,29.0,0,55.58,1.91,1
P0618,3.45,44.24,0,42.9,1,46.05,2.98,1
P0619,6.89,61.77,0,46.4,1,74.0,2.81,0
P0620,8.0,64.39,0,44.9,1,76.31,2.67,0
P0621,3.74,55.69,1,39.1,1,61.88,2.46,0
P0622,6.88,75.9,0,30.5,1,92.85,1.97,0
P0623,7.22,62.8,1,32.3,1,75.14,2.96,0
P0624,0.5,54.8,1,44.8,1,48.18,3.02,1
P0625,2.65,57.91,1,57.0,1,65.64,3.04,0
P0626,4.26,53.36,0,54.5,0,57.09,2.21,1
P0627,9.5,71.73,0,51.5,1,92.25,2.3,0
P0628,1.46,44.45,1,59.8,0,38.12,1.71,1
P0629,3.59,48.64,1,56.4,1,53.84,2.92,1
P0630,4.11,50.79,1,65.0,0,66.05,1.65,0
P0631,5.7,49.76,0,41.2,1,52.42,3.13,1
P0632,3.64,44.01,0,48.6,0,57.91,1.7,1
P0633,5.48,67.44,1,43.5,1,73.44,3.07,1
P0634,0.92,39.16,1,28.4,1,38.9,3.3,1
P0635,5.46,58.2,1,21.6,1,64.95,2.29,1
P0636,3.61,50.69,0,69.1,0,52.56,1.95,0
P0637,5.37,47.16,0,39.6,1,63.09,3.52,1
P0638,4.53,41.03,0,65.6,0,47.48,3.02,0
P0639,2.28,61.16,1,34.3,1,71.61,2.48,0
P0640,7.52,75.17,1,29.4,1,93.06,2.38,0
P0641,6.71,73.6,1,28.6,1,92.32,2.44,0
P0642,7.4,65.25,0,43.8,1,79.86,2.8,0
P0643,0.24,32.76,1,58.0,0,26.83,2.08,1
P0644,9.45,57.09,1,22.1,1,74.33,2.8,0
P0645,1.88,49.43,0,20.3,0,62.35,1.92,0
P0646,5.2,62.84,1,43.0,1,71.78,2.65,1
P0647,0.04,41.33,1,65.5,0,39.64,1.8,1
P0648,1.28,43.78,1,46.2,0,45.34,3.17,1
P0649,3.33,47.61,1,60.3,0,48.2,1.69,1
P0650,6.12,57.3,0,38.3,1,70.68,2.71,1
P0651,9.15,69.13,1,33.3,1,65.93,2.06,0
P0652,2.61,36.37,1,31.4,0,44.2,2.02,1
P0653,5.63,61.55,0,46.5,0,55.24,2.29,1
P0654,9.74,64.95,0,23.5,1,77.23,3.62,1
P0655,4.92,56.25,1,22.1,1,58.37,3.2,0
P0656,2.26,54.24,0,66.7,0,56.23,2.31,1
P0657,1.49,60.14,1,22.2,0,60.92,1.57,1
P0658,9.96,74.65,0,65.9,1,80.72,2.5,0
P0659,3.05,37.64,1,47.7,0,38.64,2.61,1
P0660,3.58,51.32,0,20.6,1,64.21,2.96,1
P0661,7.72,68.92,1,69.4,1,85.53,2.62,0
P0662,3.8,50.63,0,51.9,1,57.86,2.6,0
P0663,5.3,54.9,1,67.2,1,64.72,2.75,0
P0664,4.4,38.52,0,61.7,1,39.98,2.65,1
P0665,4.99,56.21,1,41.9,1,68.44,3.41,1
P0666,8.25,69.08,1,31.2,1,79.99,2.59,0
P0667,5.31,66.36,0,60.6,1,77.34,3.37,0
P0668,7.33,51.48,1,65.1,1,80.78,2.45,0
P0669,9.09,76.08,1,22.0,1,90.75,4.03,0
P0670,2.5,43.87,1,58.2,0,58.28,2.03,0
P0671,9.33,55.76,1,66.1,1,72.07,2.31,0
P0672,2.8,40.54,1,66.1,0,44.37,1.85,1
P0673,9.36,51.84,1,37.0,1,68.23,2.37,0
P0674,9.46,69.32,1,39.4,1,78.31,2.66,0
P0675,5.0,59.66,1,50.2,1,64.84,3.22,1
P0676,1.14,42.89,0,65.9,0,60.91,1.52,1
P0677,9.56,66.8,0,69.5,1,79.65,1.73,0
P0678,3.53,63.66,1,31.1,1,62.08,3.1,1
P0679,1.0,44.93,0,28.1,0,48.75,2.11,1
P0680,6.77,72.7,1,50.5,1,71.14,3.47,0
P0681,2.96,46.52,1,43.1,0,55.74,1.96,0
P0682,6.92,60.01,0,35.2,1,70.85,2.55,0
P0683,2.96,46.44,0,57.3,1,38.2,3.46,1
P0684,5.52,56.53,0,27.9,0,57.01,1.17,1
P0685,0.15,52.61,0,56.7,0,45.46,2.21,1
P0686,4.56,40.1,1,31.3,0,47.11,1.95,1
P0687,4.92,51.7,0,27.8,0,64.12,2.04,1
P0688,2.02,34.86,1,40.2,0,27.85,1.34,1
P0689,4.86,39.57,0,45.0,1,48.6,2.71,1
P0690,7.39,63.52,0,60.3,0,83.33,1.88,0
P0691,3.55,47.27,1,31.4,1,55.93,2.58,1
P0692,1.32,37.45,1,24.2,0,41.67,1.89,1
P0693,1.72,52.55,0,61.7,0,53.95,2.47,1
P0694,6.06,43.71,0,31.7,1,47.16,2.95,1
P0695,7.82,55.28,0,23.6,1,55.17,2.09,0
P0696,1.88,53.63,1,41.5,0,51.83,2.37,0
P0697,1.61,43.61,0,26.4,0,46.87,2.17,1
P0698,5.96,58.04,1,46.0,1,70.2,2.45,0
P0699,4.99,60.67,1,41.9,1,72.82,2.44,0
P0700,9.12,69.6,1,61.1,1,84.24,3.36,0
P0701,2.55,47.95,1,33.4,0,52.88,2.1,0
P0702,8.82,62.75,0,22.1,1,75.29,2.55,0
P0703,3.32,52.79,1,47.2,1,58.43,3.56,1
P0704,4.63,47.08,1,67.6,1,57.34,2.95,1
P0705,2.15,55.16,1,41.6,1,55.83,2.67,1
P0706,0.76,39.47,0,55.7,0,48.59,2.17,1
P0707,9.71,69.26,1,24.7,1,82.02,3.01,1
P0708,5.16,50.88,0,43.5,1,43.42,2.15,0
P0709,5.47,64.06,1,37.2,1,56.62,2.37,0
P0710,7.34,73.96,0,36.5,1,76.31,3.69,0
P0711,1.94,49.72,1,55.4,1,51.97,3.18,1
P0712,3.08,44.95,1,55.1,0,46.49,2.02,1
P0713,1.6,46.84,0,42.1,0,56.77,1.31,0
P0714,7.11,69.88,1,22.6,0,90.02,0.79,0
P0715,0.78,35.14,1,50.8,0,33.1,1.84,1
P0716,2.72,29.59,0,63.8,0,35.61,2.46,1
P0717,7.21,52.93,1,67.4,1,64.34,2.91,1
P0718,4.75,53.2,1,48.4,1,65.46,2.81,0
P0719,2.02,41.48,0,49.5,0,51.32,1.82,0
P0720,5.0,56.88,0,32.2,1,48.23,3.01,1
P0721,5.21,56.44,0,48.1,1,66.51,3.16,1
P0722,8.96,66.29,1,21.9,1,94.7,3.09,0
P0723,6.27,59.66,1,68.5,1,54.63,3.34,0
P0724,7.86,67.94,1,43.8,1,84.5,3.28,0
P0725,1.48,42.25,1,56.7,1,37.41,3.04,1
P0726,8.07,64.26,1,43.6,1,72.23,3.29,0
P0727,8.43,59.7,0,56.2,1,77.01,2.35,0
P0728,9.13,52.58,0,39.1,1,71.24,3.21,0
P0729,2.08,50.11,0,60.6,0,51.16,2.43,1
P0730,1.07,35.28,0,32.9,0,46.58,2.21,1
P0731,7.82,70.8,1,31.5,1,84.36,2.6,0
P0732,8.28,72.44,0,43.1,1,78.06,1.92,0
P0733,3.37,44.9,1,26.6,1,50.64,2.64,1
P0734,8.43,64.99,1,61.7,1,81.2,2.75,0
P0735,2.15,46.4,1,49.6,1,59.75,3.05,0
P0736,4.23,69.95,0,48.9,0,76.5,1.68,0
P0737,6.25,60.38,1,68.6,1,76.33,2.34,0
P0738,4.69,40.23,1,58.9,1,39.85,2.64,1
P0739,5.52,62.44,1,40.3,1,76.93,2.14,0
P0740,9.55,82.22,1,26.4,1,92.03,2.71,0
P0741,5.95,62.34,1,69.9,1,59.11,2.82,1
P0742,2.13,52.37,0,57.5,0,44.56,1.53,1
P0743,8.57,57.94,1,44.4,1,72.17,2.74,0
P0744,4.48,51.92,0,54.6,0,54.93,1.83,1
P0745,2.89,55.72,1,66.2,0,66.21,1.44,0
P0746,9.29,63.98,1,56.1,1,63.17,3.07,1
P0747,7.85,50.77,0,34.3,1,57.11,3.1,1
P0748,0.89,54.45,0,39.1,1,53.24,2.77,1
P0749,4.73,56.07,1,49.6,1,66.22,3.5,0
P0750,0.3,35.41,1,20.5,1,38.66,2.92,1
P0751,7.86,53.29,1,55.8,1,64.45,3.34,0
P0752,9.51,69.99,1,37.4,1,82.43,2.77,0
P0753,0.03,48.83,0,56.6,0,53.58,1.62,1
P0754,9.07,65.64,1,39.4,1,85.17,2.22,0
P0755,1.11,42.96,0,42.3,0,48.22,1.95,1
P0756,5.19,51.41,0,21.0,1,48.3,2.81,1
P0757,2.85,60.0,1,30.2,0,61.62,0.72,0
P0758,9.1,57.87,0,60.0,1,87.11,2.02,0
P0759,8.29,50.42,0,42.6,1,57.67,2.68,1
P0760,5.5,62.67,0,51.2,1,73.91,3.33,0
P0761,8.04,70.52,1,49.8,1,85.12,3.47,0
P0762,1.38,52.59,0,33.0,0,42.74,1.67,1
P0763,3.29,41.27,0,69.7,0,33.96,2.02,1
P0764,2.08,52.95,0,44.8,0,57.86,1.52,1
P0765,1.81,48.65,1,61.7,0,63.28,2.08,0
P0766,4.96,44.07,0,56.3,0,54.79,2.4,1
P0767,9.0,48.58,1,27.5,1,56.2,2.76,1
P0768,4.17,47.2,1,35.6,1,46.24,2.6,1
P0769,1.27,48.98,1,57.2,1,42.17,2.25,1
P0770,3.49,43.58,1,60.8,0,67.38,1.95,1
P0771,8.01,70.97,1,63.1,1,92.91,2.28,0
P0772,7.54,50.93,0,30.9,1,54.49,2.56,1
P0773,7.59,69.02,1,23.6,1,94.59,2.48,0
P0774,2.16,42.05,1,39.0,0,60.39,1.73,0
P0775,9.82,81.58,1,59.8,1,92.34,2.47,0
P0776,2.76,43.08,0,52.9,0,59.38,2.31,1
P0777,1.03,53.32,0,61.9,0,41.83,2.17,1
P0778,9.18,66.93,1,46.3,1,79.77,2.77,1
P0779,5.71,72.79,0,20.6,0,81.02,1.75,0
P0780,1.75,53.98,1,34.5,1,54.59,3.14,1
P0781,0.44,51.62,0,39.8,0,51.85,1.78,1
P0782,9.87,57.05,1,52.0,1,79.96,2.66,1
P0783,2.01,39.29,0,63.5,0,43.95,1.35,1
P0784,4.56,54.83,0,40.7,0,70.35,1.4,0
P0785,3.71,52.09,0,45.9,1,44.41,2.56,1
P0786,0.37,44.69,1,58.1,0,49.82,1.97,1
P0787,6.4,52.35,0,27.4,1,63.08,3.31,0
P0788,7.55,56.01,0,58.4,1,65.44,3.26,0
P0789,8.95,55.41,0,27.2,1,60.51,2.88,1
P0790,8.06,70.08,1,37.0,1,84.01,3.19,0
P0791,7.49,83.56,1,69.3,1,99.26,2.24,0
P0792,9.68,65.77,1,36.9,1,69.67,2.87,1
P0793,9.05,61.99,0,39.1,1,83.79,2.13,0
P0794,3.84,54.42,0,22.6,1,58.42,2.06,0
P0795,4.16,49.88,0,49.9,0,61.44,2.23,0
P0796,3.9,50.74,1,66.0,1,49.07,2.28,1
P0797,3.86,43.33,1,23.9,1,48.81,2.59,1
P0798,9.65,70.83,1,63.6,1,95.95,2.37,0
P0799,2.16,42.84,1,46.7,1,31.57,3.64,1
P0800,7.09,55.7,1,36.9,1,63.8,2.8,0
P0801,5.08,68.8,0,62.1,1,85.78,2.48,0
P0802,0.36,51.16,1,24.3,0,53.32,2.51,0
P0803,2.55,29.81,1,44.7,0,16.18,1.78,1
P0804,4.32,50.27,1,39.8,1,53.86,3.15,1
P0805,3.05,41.62,1,63.3,1,38.08,2.94,1
P0806,2.75,52.83,0,24.9,0,62.48,1.95,0
P0807,5.43,60.78,0,62.6,1,69.78,2.47,1
P0808,8.68,63.87,0,65.0,1,92.41,2.76,0
P0809,6.19,61.88,1,59.7,1,76.78,2.24,0
P0810,4.64,62.94,0,46.1,0,73.49,2.47,0
P0811,4.96,44.32,0,24.8,1,51.39,3.66,1
P0812,9.79,55.73,1,56.6,1,79.4,3.44,0
P0813,4.76,59.44,1,28.6,0,77.38,1.77,0
P0814,7.32,67.26,1,59.3,1,78.16,3.01,0
P0815,7.36,60.37,0,55.5,1,51.88,3.18,1
P0816,3.49,63.2,1,67.4,1,65.06,2.76,1
P0817,6.21,66.3,0,63.1,1,81.22,2.22,0
P0818,4.54,44.93,0,63.6,1,46.79,3.51,1
P0819,7.98,76.31,0,20.3,0,82.88,1.57,0
P0820,5.81,50.62,1,37.5,1,49.29,3.15,1
P0821,4.29,54.84,1,30.7,1,53.96,3.7,1
P0822,4.73,64.87,1,62.0,0,69.05,1.9,1
P0823,7.64,75.68,0,28.1,1,83.6,2.79,0
P0824,5.27,50.91,0,61.7,0,53.73,1.82,1
P0825,7.16,70.77,0,22.6,1,86.29,4.18,0
P0826,6.32,39.04,0,68.9,0,54.22,2.16,1
P0827,8.13,62.0,0,48.9,1,75.61,2.02,0
P0828,5.6,61.9,1,68.0,1,65.85,2.54,1
P0829,0.73,38.74,0,61.7,0,39.11,0.77,1
P0830,6.57,63.2,0,52.9,1,65.6,3.24,0
P0831,9.49,56.88,1,66.4,1,64.51,2.98,1
P0832,2.68,42.14,1,29.4,0,51.8,2.78,1
P0833,2.28,47.02,0,69.0,1,34.17,2.41,1
P0834,0.99,36.01,1,68.6,0,43.39,2.5,1
P0835,8.56,63.23,1,66.9,1,78.26,2.36,1
P0836,6.91,74.4,0,65.0,1,76.61,2.81,0
P0837,7.14,56.96,0,60.1,1,72.06,2.92,0
P0838,0.12,24.81,1,35.6,1,15.21,2.58,1
P0839,6.85,77.64,1,37.2,1,83.69,2.7,0
P0840,3.64,54.09,1,48.0,0,70.68,1.68,0
P0841,0.0,30.03,1,38.3,0,35.5,2.12,1
P0842,0.43,38.83,1,54.0,0,46.79,2.09,1
P0843,4.4,47.96,1,36.1,1,56.07,2.82,1
P0844,5.82,62.22,0,32.2,0,78.35,1.44,0
P0845,9.7,84.29,1,20.0,1,93.12,3.05,0
P0846,1.34,33.78,1,59.6,0,29.14,1.37,1
P0847,9.94,68.05,0,20.5,1,68.28,2.21,1
P0848,9.0,79.4,0,25.3,1,106.46,2.18,0
P0849,5.2,64.68,1,57.7,1,71.35,2.6,0
P0850,1.4,31.21,1,23.3,0,29.32,1.88,1
P0851,2.7,31.45,1,20.6,0,27.32,2.85,1
P0852,6.96,42.31,0,34.8,1,54.66,2.12,0
P0853,8.94,59.13,0,56.7,1,78.22,2.79,0
P0854,3.09,41.34,0,20.3,0,60.63,1.86,1
P0855,4.68,64.31,0,45.3,0,64.42,1.61,1
P0856,6.17,53.8,1,52.4,1,70.14,3.3,0
P0857,5.36,50.64,1,55.9,1,63.71,2.48,1
P0858,2.09,48.06,1,31.9,0,47.93,1.24,1
P0859,0.67,57.35,1,43.1,0,63.12,1.94,0
P0860,5.45,43.6,0,46.3,1,47.21,2.82,1
P0861,3.25,45.93,1,65.0,1,48.0,2.91,1
P0862,6.34,55.56,1,27.6,1,58.97,3.0,1
P0863,3.5,47.61,0,27.0,0,47.75,2.34,1
P0864,6.2,70.3,1,62.7,1,82.4,3.0,0
P0865,0.92,49.02,0,20.7,0,42.25,1.6,1
P0866,9.12,66.64,1,37.6,1,88.67,2.32,0
P0867,4.6,52.36,0,69.3,0,73.47,1.11,0
P0868,6.87,55.34,1,24.9,1,70.82,2.3,1
P0869,9.19,73.29,0,62.7,1,92.69,2.69,0
P0870,5.47,50.92,0,28.3,1,66.12,3.24,1
P0871,6.56,61.88,1,39.6,1,68.35,2.51,0
P0872,5.24,55.22,1,54.4,0,69.78,2.25,0
P0873,3.41,53.44,0,55.0,0,58.03,2.44,1
P0874,0.98,34.77,1,54.7,0,27.94,2.31,1
P0875,8.96,61.42,1,43.0,1,75.95,2.97,0
P0876,3.35,39.84,0,40.8,1,42.76,2.23,1
P0877,2.23,44.46,1,67.3,1,38.85,2.99,1
P0878,8.41,61.83,1,36.6,1,77.27,2.42,0
P0879,5.4,55.14,1,29.2,1,67.08,3.13,0
P0880,0.56,40.27,1,32.9,0,35.33,1.09,1
P0881,2.5,42.53,1,26.2,1,46.78,2.84,1
P0882,7.51,62.89,0,52.7,1,78.81,2.96,0
P0883,0.65,49.88,0,20.5,0,39.9,2.7,1
P0884,0.69,47.18,0,64.3,0,31.89,2.29,1
P0885,6.69,70.5,1,23.2,1,81.47,2.76,0
P0886,8.8,69.68,0,35.8,1,81.81,2.84,0
P0887,8.24,47.08,0,23.6,1,74.25,2.71,1
P0888,3.26,59.48,1,32.5,1,49.8,2.9,1
P0889,1.0,42.5,1,26.8,0,36.09,2.26,1
P0890,3.93,50.25,0,39.6,1,54.78,2.23,1
P0891,8.48,72.41,1,45.4,1,91.87,2.57,0
P0892,2.09,58.46,1,33.9,1,61.94,2.68,0
P0893,6.92,71.68,1,29.7,1,78.61,2.93,0
P0894,6.61,64.04,1,69.8,1,67.4,3.61,0
P0895,1.7,37.45,0,37.6,0,44.67,2.74,1
P0896,4.16,63.55,1,48.5,0,75.49,2.0,0
P0897,6.84,66.12,0,47.2,1,70.33,2.26,0
P0898,9.74,57.32,1,43.4,1,75.6,3.02,0
P0899,7.34,61.98,1,42.0,1,73.29,2.94,0
P0900,8.77,61.04,0,29.2,1,74.99,2.99,0
P0901,5.25,59.65,0,25.2,0,63.72,1.98,0
P0902,4.2,41.3,1,54.0,1,54.48,2.73,1
P0903,0.42,30.28,1,69.4,0,21.85,2.0,1
P0904,2.24,51.71,1,56.6,1,50.19,2.91,1
P0905,0.44,40.07,1,21.1,1,32.31,3.54,1
P0906,6.95,68.02,0,64.2,1,61.92,2.32,0
P0907,6.33,56.06,1,61.5,1,57.54,2.83,1
P0908,5.28,45.72,0,41.8,1,42.57,3.31,1
P0909,0.69,36.32,1,47.3,0,30.99,2.32,1
P0910,4.57,64.34,1,65.5,1,62.24,3.34,1
P0911,0.86,36.65,1,67.9,1,32.25,3.37,1
P0912,2.81,34.18,0,57.7,0,41.55,2.37,1
P0913,5.96,62.75,1,54.6,1,74.96,2.37,0
P0914,2.57,48.3,1,30.3,1,43.57,3.46,1
P0915,9.19,62.69,1,44.7,1,78.82,2.97,0
P0916,7.94,66.19,0,23.2,0,85.04,2.03,0
P0917,0.48,38.26,0,51.1,0,49.44,2.17,1
P0918,7.45,69.57,1,65.8,1,80.83,2.24,0
P0919,1.09,42.05,1,63.9,0,56.79,1.67,1
P0920,5.76,61.11,1,26.5,1,65.43,2.37,0
P0921,8.68,70.38,0,21.5,0,96.2,1.8,0
P0922,4.71,53.64,1,63.9,1,53.94,2.74,1
P0923,5.73,51.21,0,52.8,0,74.85,1.83,0
P0924,2.99,40.79,0,48.4,0,49.94,1.49,1
P0925,3.9,68.29,0,20.7,0,63.88,1.37,1
P0926,0.01,29.0,0,24.7,0,39.38,1.16,1
P0927,0.44,39.01,0,60.9,0,46.66,1.62,1
P0928,3.76,36.11,0,40.6,0,39.74,1.8,1
