contact_id,ticket_id,contact_sequence,contact_type,contact_date,staff_minutes
T01332-1,T01332,1,首次受理,2026-03-17,18.36
T01332-2,T01332,2,补充沟通,2026-03-17,19.73
T01332-3,T01332,3,补充沟通,2026-03-17,8.8
T01333-1,T01333,1,首次受理,2026-03-17,7.7
T01333-2,T01333,2,补充沟通,2026-03-17,9.39
T01333-3,T01333,3,补充沟通,2026-03-17,13.01
T01334-1,T01334,1,首次受理,2026-03-17,18.6
T01334-2,T01334,2,补充沟通,2026-03-17,17.22
T01335-1,T01335,1,首次受理,2026-03-17,6.32
T01335-2,T01335,2,补充沟通,2026-03-17,12.86
T01336-1,T01336,1,首次受理,2026-03-17,9.68
T01336-2,T01336,2,补充沟通,2026-03-17,8.64
T01337-1,T01337,1,首次受理,2026-03-17,13.8
T01337-2,T01337,2,补充沟通,2026-03-17,7.21
T01338-1,T01338,1,首次受理,2026-03-17,11.41
T01338-2,T01338,2,补充沟通,2026-03-17,18.99
T01338-3,T01338,3,补充沟通,2026-03-17,6.43
T01339-1,T01339,1,首次受理,2026-03-17,17.88
T01339-2,T01339,2,补充沟通,2026-03-17,8.38
T01340-1,T01340,1,首次受理,2026-03-17,6.04
T01340-2,T01340,2,补充沟通,2026-03-17,14.06
T01340-3,T01340,3,补充沟通,2026-03-17,4.09
T01341-1,T01341,1,首次受理,2026-03-17,17.49
T01341-2,T01341,2,补充沟通,2026-03-17,18.17
T01342-1,T01342,1,首次受理,2026-03-17,16.93
T01342-2,T01342,2,补充沟通,2026-03-17,11.62
T01342-3,T01342,3,补充沟通,2026-03-17,14.11
T01343-1,T01343,1,首次受理,2026-03-17,4.78
T01344-1,T01344,1,首次受理,2026-03-17,7.62
T01344-2,T01344,2,补充沟通,2026-03-17,15.32
T01344-3,T01344,3,补充沟通,2026-03-17,13.6
T01345-1,T01345,1,首次受理,2026-03-17,12.11
T01345-2,T01345,2,补充沟通,2026-03-17,10.11
T01346-1,T01346,1,首次受理,2026-03-17,11.51
T01346-2,T01346,2,补充沟通,2026-03-17,11.89
T01347-1,T01347,1,首次受理,2026-03-17,9.33
T01347-2,T01347,2,补充沟通,2026-03-17,16.57
T01347-3,T01347,3,补充沟通,2026-03-17,3.92
T01348-1,T01348,1,首次受理,2026-03-17,8.19
T01348-2,T01348,2,补充沟通,2026-03-17,2.1
T01349-1,T01349,1,首次受理,2026-03-17,3.95
T01349-2,T01349,2,补充沟通,2026-03-17,5.97
T01350-1,T01350,1,首次受理,2026-03-17,13.66
T01350-2,T01350,2,补充沟通,2026-03-17,14.84
T01351-1,T01351,1,首次受理,2026-03-17,4.88
T01351-2,T01351,2,补充沟通,2026-03-17,15.44
T01352-1,T01352,1,首次受理,2026-03-17,12.5
T01352-2,T01352,2,补充沟通,2026-03-17,12.09
T01352-3,T01352,3,补充沟通,2026-03-17,13.22
T01353-1,T01353,1,首次受理,2026-03-17,5.6
T01353-2,T01353,2,补充沟通,2026-03-17,7.51
T01354-1,T01354,1,首次受理,2026-03-17,3.97
T01354-2,T01354,2,补充沟通,2026-03-17,18.85
T01355-1,T01355,1,首次受理,2026-03-17,4.53
T01356-1,T01356,1,首次受理,2026-03-17,17.65
T01356-2,T01356,2,补充沟通,2026-03-17,13.9
T01356-3,T01356,3,补充沟通,2026-03-17,11.66
T01357-1,T01357,1,首次受理,2026-03-17,13.63
T01357-2,T01357,2,补充沟通,2026-03-17,16.31
T01358-1,T01358,1,首次受理,2026-03-17,10.51
T01359-1,T01359,1,首次受理,2026-03-17,14.41
T01359-2,T01359,2,补充沟通,2026-03-17,13.26
T01360-1,T01360,1,首次受理,2026-03-17,3.76
T01360-2,T01360,2,补充沟通,2026-03-17,18.58
T01361-1,T01361,1,首次受理,2026-03-17,14.47
T01361-2,T01361,2,补充沟通,2026-03-17,4.79
T01362-1,T01362,1,首次受理,2026-03-17,3.81
T01363-1,T01363,1,首次受理,2026-03-17,5.41
T01364-1,T01364,1,首次受理,2026-03-17,9.34
T01364-2,T01364,2,补充沟通,2026-03-17,7.73
T01364-3,T01364,3,补充沟通,2026-03-17,8.05
T01365-1,T01365,1,首次受理,2026-03-17,9.75
T01365-2,T01365,2,补充沟通,2026-03-17,2.83
T01366-1,T01366,1,首次受理,2026-03-17,10.8
T01366-2,T01366,2,补充沟通,2026-03-17,12.58
T01366-3,T01366,3,补充沟通,2026-03-17,11.99
T01367-1,T01367,1,首次受理,2026-03-17,2.03
T01368-1,T01368,1,首次受理,2026-03-17,8.06
T01369-1,T01369,1,首次受理,2026-03-17,4.0
T01370-1,T01370,1,首次受理,2026-03-17,9.34
T01371-1,T01371,1,首次受理,2026-03-17,5.09
T01372-1,T01372,1,首次受理,2026-03-17,3.55
T01373-1,T01373,1,首次受理,2026-03-17,19.01
T01373-2,T01373,2,补充沟通,2026-03-17,17.74
T01374-1,T01374,1,首次受理,2026-03-17,19.04
T01374-2,T01374,2,补充沟通,2026-03-17,18.94
T01374-3,T01374,3,补充沟通,2026-03-17,7.58
T01375-1,T01375,1,首次受理,2026-03-17,11.65
T01375-2,T01375,2,补充沟通,2026-03-17,10.33
T01376-1,T01376,1,首次受理,2026-03-17,5.94
T01376-2,T01376,2,补充沟通,2026-03-17,19.65
T01377-1,T01377,1,首次受理,2026-03-17,3.44
T01377-2,T01377,2,补充沟通,2026-03-17,9.38
T01377-3,T01377,3,补充沟通,2026-03-17,6.85
T01378-1,T01378,1,首次受理,2026-03-17,7.3
T01379-1,T01379,1,首次受理,2026-03-17,4.11
T01380-1,T01380,1,首次受理,2026-03-17,7.61
T01381-1,T01381,1,首次受理,2026-03-17,3.02
T01382-1,T01382,1,首次受理,2026-03-17,12.92
T01382-2,T01382,2,补充沟通,2026-03-17,8.09
T01383-1,T01383,1,首次受理,2026-03-17,17.45
T01383-2,T01383,2,补充沟通,2026-03-17,7.22
T01384-1,T01384,1,首次受理,2026-03-17,9.57
T01384-2,T01384,2,补充沟通,2026-03-17,4.01
T01385-1,T01385,1,首次受理,2026-03-17,10.9
T01385-2,T01385,2,补充沟通,2026-03-17,11.07
T01386-1,T01386,1,首次受理,2026-03-17,4.66
T01386-2,T01386,2,补充沟通,2026-03-17,8.96
T01386-3,T01386,3,补充沟通,2026-03-17,3.83
T01387-1,T01387,1,首次受理,2026-03-17,10.17
T01388-1,T01388,1,首次受理,2026-03-17,3.09
T01389-1,T01389,1,首次受理,2026-03-17,8.23
T01390-1,T01390,1,首次受理,2026-03-17,6.95
T01391-1,T01391,1,首次受理,2026-03-17,7.16
T01391-2,T01391,2,补充沟通,2026-03-17,8.9
T01392-1,T01392,1,首次受理,2026-03-17,6.61
T01393-1,T01393,1,首次受理,2026-03-17,2.79
T01394-1,T01394,1,首次受理,2026-03-17,18.85
T01394-2,T01394,2,补充沟通,2026-03-17,18.57
T01395-1,T01395,1,首次受理,2026-03-17,7.62
T01396-1,T01396,1,首次受理,2026-03-17,4.75
T01397-1,T01397,1,首次受理,2026-03-17,5.48
T01398-1,T01398,1,首次受理,2026-03-17,9.73
T01399-1,T01399,1,首次受理,2026-03-17,5.15
T01400-1,T01400,1,首次受理,2026-03-17,2.12
T01401-1,T01401,1,首次受理,2026-03-17,5.06
T01401-2,T01401,2,补充沟通,2026-03-17,11.58
T01401-3,T01401,3,补充沟通,2026-03-17,16.08
T01402-1,T01402,1,首次受理,2026-03-17,14.04
T01402-2,T01402,2,补充沟通,2026-03-17,5.18
T01403-1,T01403,1,首次受理,2026-03-17,2.29
T01404-1,T01404,1,首次受理,2026-03-17,3.77
T01405-1,T01405,1,首次受理,2026-03-17,5.06
T01405-2,T01405,2,补充沟通,2026-03-17,8.0
T01406-1,T01406,1,首次受理,2026-03-17,3.41
T01407-1,T01407,1,首次受理,2026-03-17,4.24
T01407-2,T01407,2,补充沟通,2026-03-17,2.32
T01408-1,T01408,1,首次受理,2026-03-17,9.31
T01408-2,T01408,2,补充沟通,2026-03-17,9.82
T01409-1,T01409,1,首次受理,2026-03-17,13.22
T01409-2,T01409,2,补充沟通,2026-03-17,15.53
T01410-1,T01410,1,首次受理,2026-03-17,4.55
T01410-2,T01410,2,补充沟通,2026-03-17,3.68
T01410-3,T01410,3,补充沟通,2026-03-17,15.61
T01411-1,T01411,1,首次受理,2026-03-17,9.71
T01412-1,T01412,1,首次受理,2026-03-17,4.73
T01413-1,T01413,1,首次受理,2026-03-17,7.15
T01414-1,T01414,1,首次受理,2026-03-17,6.61
T01415-1,T01415,1,首次受理,2026-03-17,3.19
T01415-2,T01415,2,补充沟通,2026-03-17,5.53
T01416-1,T01416,1,首次受理,2026-03-17,4.4
T01417-1,T01417,1,首次受理,2026-03-17,5.28
T01418-1,T01418,1,首次受理,2026-03-17,4.89
T01419-1,T01419,1,首次受理,2026-03-17,5.52
T01420-1,T01420,1,首次受理,2026-03-17,5.7
T01420-2,T01420,2,补充沟通,2026-03-17,6.62
T01421-1,T01421,1,首次受理,2026-03-17,15.0
T01421-2,T01421,2,补充沟通,2026-03-17,9.98
T01422-1,T01422,1,首次受理,2026-03-17,13.08
T01422-2,T01422,2,补充沟通,2026-03-17,10.28
T01423-1,T01423,1,首次受理,2026-03-17,17.21
T01423-2,T01423,2,补充沟通,2026-03-17,3.74
T01424-1,T01424,1,首次受理,2026-03-17,6.8
T01425-1,T01425,1,首次受理,2026-03-17,9.38
T01425-2,T01425,2,补充沟通,2026-03-17,12.74
T01425-3,T01425,3,补充沟通,2026-03-17,9.11
T01426-1,T01426,1,首次受理,2026-03-17,6.32
T01427-1,T01427,1,首次受理,2026-03-17,4.83
T01428-1,T01428,1,首次受理,2026-03-17,17.08
T01428-2,T01428,2,补充沟通,2026-03-17,13.4
T01428-3,T01428,3,补充沟通,2026-03-17,14.48
T01429-1,T01429,1,首次受理,2026-03-17,6.79
T01430-1,T01430,1,首次受理,2026-03-17,11.67
T01430-2,T01430,2,补充沟通,2026-03-17,19.54
T01431-1,T01431,1,首次受理,2026-03-17,6.17
T01432-1,T01432,1,首次受理,2026-03-17,5.13
T01433-1,T01433,1,首次受理,2026-03-17,5.72
T01434-1,T01434,1,首次受理,2026-03-17,10.21
T01435-1,T01435,1,首次受理,2026-03-17,13.23
T01435-2,T01435,2,补充沟通,2026-03-17,4.38
T01436-1,T01436,1,首次受理,2026-03-17,14.4
T01436-2,T01436,2,补充沟通,2026-03-17,9.32
T01437-1,T01437,1,首次受理,2026-03-17,7.94
T01438-1,T01438,1,首次受理,2026-03-17,16.53
T01438-2,T01438,2,补充沟通,2026-03-17,7.61
T01439-1,T01439,1,首次受理,2026-03-17,10.2
T01440-1,T01440,1,首次受理,2026-03-17,17.68
T01440-2,T01440,2,补充沟通,2026-03-17,18.59
T01440-3,T01440,3,补充沟通,2026-03-17,16.63
T01441-1,T01441,1,首次受理,2026-03-18,14.35
T01441-2,T01441,2,补充沟通,2026-03-18,4.83
T01442-1,T01442,1,首次受理,2026-03-18,4.32
T01443-1,T01443,1,首次受理,2026-03-18,6.9
T01443-2,T01443,2,补充沟通,2026-03-18,5.89
T01444-1,T01444,1,首次受理,2026-03-18,16.86
T01444-2,T01444,2,补充沟通,2026-03-18,11.51
T01445-1,T01445,1,首次受理,2026-03-18,9.07
T01445-2,T01445,2,补充沟通,2026-03-18,9.81
T01446-1,T01446,1,首次受理,2026-03-18,7.76
T01446-2,T01446,2,补充沟通,2026-03-18,18.12
T01446-3,T01446,3,补充沟通,2026-03-18,9.04
T01447-1,T01447,1,首次受理,2026-03-18,3.12
T01447-2,T01447,2,补充沟通,2026-03-18,7.59
T01448-1,T01448,1,首次受理,2026-03-18,3.75
T01448-2,T01448,2,补充沟通,2026-03-18,4.25
T01449-1,T01449,1,首次受理,2026-03-18,5.78
T01449-2,T01449,2,补充沟通,2026-03-18,15.66
T01450-1,T01450,1,首次受理,2026-03-18,10.69
T01450-2,T01450,2,补充沟通,2026-03-18,9.16
T01451-1,T01451,1,首次受理,2026-03-18,3.91
T01451-2,T01451,2,补充沟通,2026-03-18,9.44
T01452-1,T01452,1,首次受理,2026-03-18,6.46
T01453-1,T01453,1,首次受理,2026-03-18,13.48
T01453-2,T01453,2,补充沟通,2026-03-18,16.08
T01454-1,T01454,1,首次受理,2026-03-18,9.82
T01454-2,T01454,2,补充沟通,2026-03-18,17.52
T01454-3,T01454,3,补充沟通,2026-03-18,4.65
T01455-1,T01455,1,首次受理,2026-03-18,15.96
T01455-2,T01455,2,补充沟通,2026-03-18,10.42
T01456-1,T01456,1,首次受理,2026-03-18,5.89
T01457-1,T01457,1,首次受理,2026-03-18,15.82
T01457-2,T01457,2,补充沟通,2026-03-18,10.88
T01457-3,T01457,3,补充沟通,2026-03-18,12.66
T01458-1,T01458,1,首次受理,2026-03-18,14.05
T01458-2,T01458,2,补充沟通,2026-03-18,10.8
T01458-3,T01458,3,补充沟通,2026-03-18,13.18
T01459-1,T01459,1,首次受理,2026-03-18,5.55
T01459-2,T01459,2,补充沟通,2026-03-18,10.35
T01460-1,T01460,1,首次受理,2026-03-18,4.65
T01461-1,T01461,1,首次受理,2026-03-18,15.67
T01461-2,T01461,2,补充沟通,2026-03-18,16.8
T01462-1,T01462,1,首次受理,2026-03-18,4.88
T01462-2,T01462,2,补充沟通,2026-03-18,12.94
T01462-3,T01462,3,补充沟通,2026-03-18,14.15
T01463-1,T01463,1,首次受理,2026-03-18,10.94
T01463-2,T01463,2,补充沟通,2026-03-18,4.12
T01464-1,T01464,1,首次受理,2026-03-18,3.88
T01464-2,T01464,2,补充沟通,2026-03-18,6.84
T01464-3,T01464,3,补充沟通,2026-03-18,13.81
T01465-1,T01465,1,首次受理,2026-03-18,8.39
T01465-2,T01465,2,补充沟通,2026-03-18,8.71
T01466-1,T01466,1,首次受理,2026-03-18,10.16
T01466-2,T01466,2,补充沟通,2026-03-18,4.33
T01467-1,T01467,1,首次受理,2026-03-18,8.2
T01468-1,T01468,1,首次受理,2026-03-18,12.86
T01468-2,T01468,2,补充沟通,2026-03-18,10.72
T01469-1,T01469,1,首次受理,2026-03-18,16.39
T01469-2,T01469,2,补充沟通,2026-03-18,7.13
T01470-1,T01470,1,首次受理,2026-03-18,4.32
T01470-2,T01470,2,补充沟通,2026-03-18,7.06
T01471-1,T01471,1,首次受理,2026-03-18,14.3
T01471-2,T01471,2,补充沟通,2026-03-18,13.46
T01472-1,T01472,1,首次受理,2026-03-18,18.12
T01472-2,T01472,2,补充沟通,2026-03-18,13.11
T01472-3,T01472,3,补充沟通,2026-03-18,6.73
T01473-1,T01473,1,首次受理,2026-03-18,19.11
T01473-2,T01473,2,补充沟通,2026-03-18,12.07
T01473-3,T01473,3,补充沟通,2026-03-18,11.42
T01474-1,T01474,1,首次受理,2026-03-18,6.36
T01474-2,T01474,2,补充沟通,2026-03-18,9.82
T01474-3,T01474,3,补充沟通,2026-03-18,9.73
T01475-1,T01475,1,首次受理,2026-03-18,17.6
T01475-2,T01475,2,补充沟通,2026-03-18,14.41
T01475-3,T01475,3,补充沟通,2026-03-18,13.48
T01476-1,T01476,1,首次受理,2026-03-18,14.89
T01476-2,T01476,2,补充沟通,2026-03-18,18.52
T01477-1,T01477,1,首次受理,2026-03-18,9.96
T01477-2,T01477,2,补充沟通,2026-03-18,13.18
T01477-3,T01477,3,补充沟通,2026-03-18,12.38
T01478-1,T01478,1,首次受理,2026-03-18,19.29
T01478-2,T01478,2,补充沟通,2026-03-18,14.77
T01478-3,T01478,3,补充沟通,2026-03-18,8.4
T01478-4,T01478,4,补充沟通,2026-03-18,12.19
T01479-1,T01479,1,首次受理,2026-03-18,9.32
T01479-2,T01479,2,补充沟通,2026-03-18,4.5
T01480-1,T01480,1,首次受理,2026-03-18,18.0
T01480-2,T01480,2,补充沟通,2026-03-18,19.66
T01480-3,T01480,3,补充沟通,2026-03-18,14.02
T01481-1,T01481,1,首次受理,2026-03-18,16.07
T01481-2,T01481,2,补充沟通,2026-03-18,18.66
T01482-1,T01482,1,首次受理,2026-03-18,7.13
T01482-2,T01482,2,补充沟通,2026-03-18,11.9
T01482-3,T01482,3,补充沟通,2026-03-18,12.2
T01483-1,T01483,1,首次受理,2026-03-18,4.57
T01483-2,T01483,2,补充沟通,2026-03-18,2.51
T01484-1,T01484,1,首次受理,2026-03-18,10.33
T01485-1,T01485,1,首次受理,2026-03-18,7.54
T01485-2,T01485,2,补充沟通,2026-03-18,8.52
T01486-1,T01486,1,首次受理,2026-03-18,9.87
T01487-1,T01487,1,首次受理,2026-03-18,11.18
T01487-2,T01487,2,补充沟通,2026-03-18,15.96
T01488-1,T01488,1,首次受理,2026-03-18,9.21
T01489-1,T01489,1,首次受理,2026-03-18,10.4
T01489-2,T01489,2,补充沟通,2026-03-18,9.81
T01490-1,T01490,1,首次受理,2026-03-18,9.4
T01491-1,T01491,1,首次受理,2026-03-18,2.37
T01492-1,T01492,1,首次受理,2026-03-18,10.67
T01493-1,T01493,1,首次受理,2026-03-18,5.62
T01494-1,T01494,1,首次受理,2026-03-18,6.39
T01494-2,T01494,2,补充沟通,2026-03-18,9.66
T01495-1,T01495,1,首次受理,2026-03-18,6.7
T01496-1,T01496,1,首次受理,2026-03-18,3.04
T01497-1,T01497,1,首次受理,2026-03-18,10.81
T01498-1,T01498,1,首次受理,2026-03-18,8.22
T01499-1,T01499,1,首次受理,2026-03-18,7.8
T01500-1,T01500,1,首次受理,2026-03-18,7.82
T01501-1,T01501,1,首次受理,2026-03-18,11.23
T01501-2,T01501,2,补充沟通,2026-03-18,15.91
T01501-3,T01501,3,补充沟通,2026-03-18,14.84
T01502-1,T01502,1,首次受理,2026-03-18,5.28
T01503-1,T01503,1,首次受理,2026-03-18,8.83
T01503-2,T01503,2,补充沟通,2026-03-18,4.8
T01504-1,T01504,1,首次受理,2026-03-18,15.3
T01504-2,T01504,2,补充沟通,2026-03-18,4.45
T01504-3,T01504,3,补充沟通,2026-03-18,16.29
T01505-1,T01505,1,首次受理,2026-03-18,2.03
T01506-1,T01506,1,首次受理,2026-03-18,16.01
T01506-2,T01506,2,补充沟通,2026-03-18,9.97
T01507-1,T01507,1,首次受理,2026-03-18,8.66
T01507-2,T01507,2,补充沟通,2026-03-18,14.19
T01508-1,T01508,1,首次受理,2026-03-18,7.31
T01508-2,T01508,2,补充沟通,2026-03-18,3.97
T01509-1,T01509,1,首次受理,2026-03-18,6.44
T01510-1,T01510,1,首次受理,2026-03-18,12.31
T01510-2,T01510,2,补充沟通,2026-03-18,16.93
T01511-1,T01511,1,首次受理,2026-03-18,4.42
T01512-1,T01512,1,首次受理,2026-03-18,5.79
T01513-1,T01513,1,首次受理,2026-03-18,6.09
T01513-2,T01513,2,补充沟通,2026-03-18,13.21
T01513-3,T01513,3,补充沟通,2026-03-18,3.86
T01514-1,T01514,1,首次受理,2026-03-18,10.97
T01514-2,T01514,2,补充沟通,2026-03-18,4.5
T01515-1,T01515,1,首次受理,2026-03-18,3.35
T01516-1,T01516,1,首次受理,2026-03-18,2.44
T01517-1,T01517,1,首次受理,2026-03-18,14.76
T01517-2,T01517,2,补充沟通,2026-03-18,4.99
T01517-3,T01517,3,补充沟通,2026-03-18,12.39
T01518-1,T01518,1,首次受理,2026-03-18,8.0
T01519-1,T01519,1,首次受理,2026-03-18,8.3
T01520-1,T01520,1,首次受理,2026-03-18,2.05
T01521-1,T01521,1,首次受理,2026-03-18,5.66
T01521-2,T01521,2,补充沟通,2026-03-18,11.26
T01522-1,T01522,1,首次受理,2026-03-18,6.55
T01522-2,T01522,2,补充沟通,2026-03-18,7.96
T01522-3,T01522,3,补充沟通,2026-03-18,18.42
T01523-1,T01523,1,首次受理,2026-03-18,4.71
T01523-2,T01523,2,补充沟通,2026-03-18,19.56
T01523-3,T01523,3,补充沟通,2026-03-18,17.32
T01524-1,T01524,1,首次受理,2026-03-18,17.45
T01524-2,T01524,2,补充沟通,2026-03-18,8.01
T01525-1,T01525,1,首次受理,2026-03-18,7.57
T01526-1,T01526,1,首次受理,2026-03-18,10.37
T01527-1,T01527,1,首次受理,2026-03-18,3.22
T01528-1,T01528,1,首次受理,2026-03-18,16.14
T01528-2,T01528,2,补充沟通,2026-03-18,16.45
T01528-3,T01528,3,补充沟通,2026-03-18,10.7
T01529-1,T01529,1,首次受理,2026-03-18,10.33
T01530-1,T01530,1,首次受理,2026-03-18,2.21
T01530-2,T01530,2,补充沟通,2026-03-18,8.87
T01530-3,T01530,3,补充沟通,2026-03-18,3.97
T01531-1,T01531,1,首次受理,2026-03-18,2.83
T01531-2,T01531,2,补充沟通,2026-03-18,5.18
T01532-1,T01532,1,首次受理,2026-03-18,13.29
T01532-2,T01532,2,补充沟通,2026-03-18,11.22
T01532-3,T01532,3,补充沟通,2026-03-18,5.19
T01532-4,T01532,4,补充沟通,2026-03-18,15.0
T01533-1,T01533,1,首次受理,2026-03-18,2.46
T01534-1,T01534,1,首次受理,2026-03-18,10.61
T01535-1,T01535,1,首次受理,2026-03-18,6.14
T01536-1,T01536,1,首次受理,2026-03-18,4.37
T01536-2,T01536,2,补充沟通,2026-03-18,6.82
T01536-3,T01536,3,补充沟通,2026-03-18,6.99
T01537-1,T01537,1,首次受理,2026-03-18,8.72
T01537-2,T01537,2,补充沟通,2026-03-18,5.12
T01537-3,T01537,3,补充沟通,2026-03-18,6.07
T01538-1,T01538,1,首次受理,2026-03-18,10.6
T01538-2,T01538,2,补充沟通,2026-03-18,9.79
T01539-1,T01539,1,首次受理,2026-03-18,7.55
T01540-1,T01540,1,首次受理,2026-03-18,9.81
T01540-2,T01540,2,补充沟通,2026-03-18,13.06
T01541-1,T01541,1,首次受理,2026-03-18,3.13
T01541-2,T01541,2,补充沟通,2026-03-18,10.4
T01542-1,T01542,1,首次受理,2026-03-18,12.72
T01542-2,T01542,2,补充沟通,2026-03-18,15.12
T01543-1,T01543,1,首次受理,2026-03-18,9.12
T01544-1,T01544,1,首次受理,2026-03-18,7.13
T01545-1,T01545,1,首次受理,2026-03-18,13.42
T01545-2,T01545,2,补充沟通,2026-03-18,10.46
T01546-1,T01546,1,首次受理,2026-03-18,4.04
T01546-2,T01546,2,补充沟通,2026-03-18,14.05
T01547-1,T01547,1,首次受理,2026-03-18,9.21
T01547-2,T01547,2,补充沟通,2026-03-18,3.5
T01548-1,T01548,1,首次受理,2026-03-18,6.62
T01548-2,T01548,2,补充沟通,2026-03-18,15.6
T01548-3,T01548,3,补充沟通,2026-03-18,15.96
T01548-4,T01548,4,补充沟通,2026-03-18,17.59
T01549-1,T01549,1,首次受理,2026-03-18,2.44
T01549-2,T01549,2,补充沟通,2026-03-18,9.99
T01550-1,T01550,1,首次受理,2026-03-18,9.4
T01551-1,T01551,1,首次受理,2026-03-18,13.57
T01551-2,T01551,2,补充沟通,2026-03-18,8.16
T01552-1,T01552,1,首次受理,2026-03-18,6.02
T01552-2,T01552,2,补充沟通,2026-03-18,6.44
T01553-1,T01553,1,首次受理,2026-03-18,14.1
T01553-2,T01553,2,补充沟通,2026-03-18,12.47
T01554-1,T01554,1,首次受理,2026-03-18,4.38
T01555-1,T01555,1,首次受理,2026-03-18,16.48
T01555-2,T01555,2,补充沟通,2026-03-18,17.82
T01556-1,T01556,1,首次受理,2026-03-18,8.53
T01557-1,T01557,1,首次受理,2026-03-18,12.53
T01557-2,T01557,2,补充沟通,2026-03-18,14.01
T01558-1,T01558,1,首次受理,2026-03-18,17.94
T01558-2,T01558,2,补充沟通,2026-03-18,8.13
T01558-3,T01558,3,补充沟通,2026-03-18,10.82
T01559-1,T01559,1,首次受理,2026-03-18,7.67
T01559-2,T01559,2,补充沟通,2026-03-18,7.21
T01560-1,T01560,1,首次受理,2026-03-18,7.1
T01561-1,T01561,1,首次受理,2026-03-19,4.9
T01561-2,T01561,2,补充沟通,2026-03-19,6.4
T01562-1,T01562,1,首次受理,2026-03-19,14.78
T01562-2,T01562,2,补充沟通,2026-03-19,6.88
T01563-1,T01563,1,首次受理,2026-03-19,10.05
T01563-2,T01563,2,补充沟通,2026-03-19,3.11
T01564-1,T01564,1,首次受理,2026-03-19,8.58
T01564-2,T01564,2,补充沟通,2026-03-19,13.86
T01564-3,T01564,3,补充沟通,2026-03-19,9.15
T01565-1,T01565,1,首次受理,2026-03-19,4.32
T01565-2,T01565,2,补充沟通,2026-03-19,16.36
T01565-3,T01565,3,补充沟通,2026-03-19,4.28
T01566-1,T01566,1,首次受理,2026-03-19,14.91
T01566-2,T01566,2,补充沟通,2026-03-19,12.17
T01566-3,T01566,3,补充沟通,2026-03-19,6.49
T01567-1,T01567,1,首次受理,2026-03-19,18.25
T01567-2,T01567,2,补充沟通,2026-03-19,17.48
T01567-3,T01567,3,补充沟通,2026-03-19,12.93
T01568-1,T01568,1,首次受理,2026-03-19,14.35
T01568-2,T01568,2,补充沟通,2026-03-19,4.51
T01568-3,T01568,3,补充沟通,2026-03-19,19.22
T01569-1,T01569,1,首次受理,2026-03-19,10.71
T01570-1,T01570,1,首次受理,2026-03-19,6.95
T01570-2,T01570,2,补充沟通,2026-03-19,12.41
T01570-3,T01570,3,补充沟通,2026-03-19,10.0
T01571-1,T01571,1,首次受理,2026-03-19,16.33
T01571-2,T01571,2,补充沟通,2026-03-19,18.19
T01571-3,T01571,3,补充沟通,2026-03-19,13.29
T01572-1,T01572,1,首次受理,2026-03-19,4.9
T01572-2,T01572,2,补充沟通,2026-03-19,17.47
T01572-3,T01572,3,补充沟通,2026-03-19,18.48
T01573-1,T01573,1,首次受理,2026-03-19,13.48
T01573-2,T01573,2,补充沟通,2026-03-19,9.01
T01574-1,T01574,1,首次受理,2026-03-19,5.28
T01574-2,T01574,2,补充沟通,2026-03-19,7.6
T01574-3,T01574,3,补充沟通,2026-03-19,15.51
T01574-4,T01574,4,补充沟通,2026-03-19,18.44
T01575-1,T01575,1,首次受理,2026-03-19,8.24
T01575-2,T01575,2,补充沟通,2026-03-19,7.55
T01576-1,T01576,1,首次受理,2026-03-19,6.22
T01576-2,T01576,2,补充沟通,2026-03-19,4.42
T01576-3,T01576,3,补充沟通,2026-03-19,9.41
T01577-1,T01577,1,首次受理,2026-03-19,6.1
T01577-2,T01577,2,补充沟通,2026-03-19,17.82
T01578-1,T01578,1,首次受理,2026-03-19,19.5
T01578-2,T01578,2,补充沟通,2026-03-19,15.37
T01578-3,T01578,3,补充沟通,2026-03-19,14.18
T01579-1,T01579,1,首次受理,2026-03-19,10.45
T01579-2,T01579,2,补充沟通,2026-03-19,11.63
T01580-1,T01580,1,首次受理,2026-03-19,15.94
T01580-2,T01580,2,补充沟通,2026-03-19,17.31
T01581-1,T01581,1,首次受理,2026-03-19,11.24
T01581-2,T01581,2,补充沟通,2026-03-19,17.59
T01582-1,T01582,1,首次受理,2026-03-19,6.01
T01583-1,T01583,1,首次受理,2026-03-19,5.69
T01583-2,T01583,2,补充沟通,2026-03-19,5.63
T01584-1,T01584,1,首次受理,2026-03-19,11.88
T01584-2,T01584,2,补充沟通,2026-03-19,8.99
T01584-3,T01584,3,补充沟通,2026-03-19,17.31
T01585-1,T01585,1,首次受理,2026-03-19,6.2
T01585-2,T01585,2,补充沟通,2026-03-19,16.43
T01586-1,T01586,1,首次受理,2026-03-19,18.8
T01586-2,T01586,2,补充沟通,2026-03-19,17.16
T01586-3,T01586,3,补充沟通,2026-03-19,8.8
T01587-1,T01587,1,首次受理,2026-03-19,2.93
T01588-1,T01588,1,首次受理,2026-03-19,13.06
T01588-2,T01588,2,补充沟通,2026-03-19,4.11
T01589-1,T01589,1,首次受理,2026-03-19,15.23
T01589-2,T01589,2,补充沟通,2026-03-19,13.98
T01590-1,T01590,1,首次受理,2026-03-19,6.83
T01590-2,T01590,2,补充沟通,2026-03-19,19.21
T01590-3,T01590,3,补充沟通,2026-03-19,16.86
T01591-1,T01591,1,首次受理,2026-03-19,7.3
