person_id,campus,stage,stratum,baseline_score,responded
P2-0198,north,late,north_late,45.22,1
P2-0199,north,late,north_late,49.09,0
P2-0200,north,late,north_late,38.61,1
P2-0201,north,late,north_late,34.88,0
P2-0202,north,late,north_late,51.9,1
P2-0203,north,late,north_late,61.16,0
P2-0204,north,late,north_late,54.22,0
P2-0205,north,late,north_late,70.83,1
P2-0206,north,late,north_late,70.67,0
P2-0207,north,late,north_late,64.42,1
P2-0208,north,late,north_late,59.7,0
P2-0209,north,late,north_late,54.65,0
P2-0210,north,late,north_late,73.97,0
P2-0211,north,late,north_late,72.92,1
P2-0212,north,late,north_late,57.83,0
P2-0213,north,late,north_late,85.87,0
P2-0214,north,late,north_late,77.29,1
P2-0215,north,late,north_late,61.43,0
P2-0216,north,late,north_late,64.29,1
P2-0217,north,late,north_late,80.44,0
P2-0218,north,late,north_late,56.72,1
P2-0219,north,late,north_late,58.29,0
P2-0220,north,late,north_late,80.12,1
P2-0221,north,late,north_late,67.52,1
P2-0222,north,late,north_late,60.9,0
P2-0223,north,late,north_late,53.39,1
P2-0224,north,late,north_late,53.28,0
P2-0225,north,late,north_late,70.23,0
P2-0226,north,late,north_late,55.1,0
P2-0227,north,late,north_late,61.74,1
P2-0228,north,late,north_late,42.48,1
P2-0229,north,late,north_late,56.13,0
P2-0230,north,late,north_late,38.81,0
P2-0231,north,late,north_late,66.64,1
P2-0232,north,late,north_late,63.41,1
P2-0233,north,late,north_late,65.37,0
P2-0234,north,late,north_late,51.75,0
P2-0235,north,late,north_late,59.5,1
P2-0236,north,late,north_late,59.47,1
P2-0237,north,late,north_late,72.52,0
P2-0238,north,late,north_late,65.48,0
P2-0239,north,late,north_late,48.12,0
P2-0240,north,late,north_late,48.46,1
P2-0241,north,late,north_late,68.16,0
P2-0242,north,late,north_late,57.22,0
P2-0243,north,late,north_late,71.22,0
P2-0244,north,late,north_late,33.58,0
P2-0245,north,late,north_late,54.57,0
P2-0246,north,late,north_late,53.96,0
P2-0247,north,late,north_late,70.88,0
P2-0248,north,late,north_late,71.17,1
P2-0249,north,late,north_late,65.86,1
P2-0250,north,late,north_late,55.91,1
P2-0251,north,late,north_late,71.58,0
P2-0252,north,late,north_late,56.58,1
P2-0253,north,late,north_late,53.58,0
P2-0254,north,late,north_late,71.8,0
P2-0255,north,late,north_late,65.56,0
P2-0256,north,late,north_late,71.77,1
P2-0257,north,late,north_late,70.59,0
P2-0258,north,late,north_late,64.91,0
P2-0259,north,late,north_late,63.68,1
P2-0260,north,late,north_late,52.69,0
P2-0261,north,late,north_late,62.25,0
P2-0262,north,late,north_late,63.22,1
P2-0263,north,late,north_late,52.4,0
P2-0264,north,late,north_late,69.96,0
P2-0265,north,late,north_late,63.46,1
P2-0266,north,late,north_late,51.23,0
P2-0267,north,late,north_late,43.93,0
P2-0268,north,late,north_late,70.8,0
P2-0269,north,late,north_late,74.48,0
P2-0270,north,late,north_late,49.55,1
P2-0271,north,late,north_late,50.95,0
P2-0272,north,late,north_late,79.27,1
P2-0273,north,late,north_late,58.08,1
P2-0274,north,late,north_late,55.06,0
P2-0275,north,late,north_late,69.19,0
P2-0276,north,late,north_late,56.39,0
P2-0277,north,late,north_late,42.51,0
P2-0278,north,late,north_late,67.94,0
P2-0279,north,late,north_late,85.21,1
P2-0280,north,late,north_late,57.06,0
P2-0281,north,late,north_late,69.85,0
P2-0282,north,late,north_late,83.04,1
P2-0283,north,late,north_late,55.31,0
P2-0284,north,late,north_late,71.19,1
P2-0285,north,late,north_late,51.35,1
P2-0286,north,late,north_late,63.4,1
P2-0287,north,late,north_late,57.59,1
P2-0288,north,late,north_late,54.23,0
P2-0289,north,late,north_late,61.12,0
P2-0290,north,late,north_late,53.46,0
P2-0291,north,late,north_late,74.25,0
P2-0292,north,late,north_late,69.0,0
P2-0293,north,late,north_late,49.5,0
P2-0294,north,late,north_late,76.5,0
P2-0295,north,late,north_late,37.69,0
P2-0296,north,late,north_late,45.78,0
P2-0297,north,late,north_late,58.18,0
P2-0298,north,late,north_late,38.73,0
P2-0299,north,late,north_late,67.33,0
P2-0300,north,late,north_late,56.34,0
P2-0301,north,late,north_late,76.56,1
P2-0302,north,late,north_late,73.56,1
P2-0303,north,late,north_late,72.77,0
P2-0304,north,late,north_late,45.36,0
P2-0305,north,late,north_late,66.43,1
P2-0306,north,late,north_late,53.87,1
P2-0307,north,late,north_late,87.7,0
P2-0308,north,late,north_late,65.19,1
P2-0309,north,late,north_late,70.66,0
P2-0310,north,late,north_late,77.75,1
P2-0311,north,late,north_late,75.79,0
P2-0312,north,late,north_late,61.79,1
P2-0313,north,late,north_late,73.57,1
P2-0314,north,late,north_late,35.0,0
P2-0315,north,late,north_late,52.96,1
P2-0316,north,late,north_late,70.25,0
P2-0317,north,late,north_late,70.67,1
P2-0318,north,late,north_late,52.01,0
P2-0319,north,late,north_late,67.58,0
P2-0320,north,late,north_late,70.3,1
P2-0321,north,late,north_late,34.34,0
P2-0322,north,late,north_late,84.37,1
P2-0323,north,late,north_late,54.1,0
P2-0324,north,late,north_late,74.7,0
P2-0325,north,late,north_late,70.12,0
P2-0326,north,late,north_late,63.43,0
P2-0327,north,late,north_late,83.97,1
P2-0328,north,late,north_late,59.16,1
P2-0329,north,late,north_late,49.7,1
P2-0330,north,late,north_late,57.47,0
P2-0331,north,late,north_late,47.62,0
P2-0332,north,late,north_late,79.11,0
P2-0333,north,late,north_late,68.38,0
P2-0334,north,late,north_late,47.48,0
P2-0335,north,late,north_late,55.19,0
P2-0336,north,late,north_late,52.68,0
P2-0337,north,late,north_late,54.98,1
P2-0338,north,late,north_late,48.68,0
P2-0339,north,late,north_late,63.57,1
P2-0340,north,late,north_late,62.14,0
P2-0341,north,late,north_late,47.63,0
P2-0342,north,late,north_late,25.72,0
P2-0343,north,late,north_late,56.01,1
P2-0344,north,late,north_late,73.83,1
P2-0345,north,late,north_late,39.57,1
P2-0346,north,late,north_late,50.55,0
P2-0347,north,late,north_late,71.84,0
P2-0348,north,late,north_late,74.13,0
P2-0349,north,late,north_late,78.24,0
P2-0350,north,late,north_late,53.53,1
P2-0351,north,late,north_late,79.46,0
P2-0352,north,late,north_late,58.1,0
P2-0353,north,late,north_late,63.75,0
P2-0354,north,late,north_late,56.91,1
P2-0355,north,late,north_late,58.71,0
P2-0356,north,late,north_late,59.56,1
P2-0357,north,late,north_late,40.6,0
P2-0358,north,late,north_late,80.15,0
P2-0359,north,late,north_late,34.28,0
P2-0360,north,late,north_late,44.96,1
P2-0361,north,late,north_late,64.4,1
P2-0362,north,late,north_late,59.77,1
P2-0363,north,late,north_late,59.75,0
P2-0364,north,late,north_late,62.58,0
P2-0365,north,late,north_late,70.8,0
P2-0366,north,late,north_late,77.53,1
P2-0367,north,late,north_late,48.93,0
P2-0368,north,late,north_late,53.33,0
P2-0369,north,late,north_late,54.82,1
P2-0370,north,late,north_late,74.21,0
P2-0371,north,late,north_late,73.65,0
P2-0372,north,late,north_late,81.29,0
P2-0373,north,late,north_late,69.38,0
P2-0374,north,late,north_late,45.31,0
P2-0375,north,late,north_late,42.44,0
P2-0376,north,late,north_late,53.17,1
P2-0377,north,late,north_late,68.36,1
P2-0378,north,late,north_late,47.25,0
P2-0379,north,late,north_late,55.03,0
P2-0380,north,late,north_late,69.34,0
P2-0381,north,late,north_late,71.1,0
P2-0382,north,late,north_late,70.39,0
P2-0383,north,late,north_late,44.44,0
P2-0384,north,late,north_late,73.6,1
P2-0385,north,late,north_late,49.39,0
P2-0386,north,late,north_late,72.82,0
P2-0387,north,late,north_late,66.85,0
P2-0388,north,late,north_late,53.13,0
P2-0389,north,late,north_late,52.12,0
P2-0390,north,late,north_late,51.29,0
P2-0391,north,late,north_late,64.4,0
P2-0392,north,late,north_late,65.0,1
P2-0393,north,late,north_late,70.13,0
P2-0394,north,late,north_late,47.37,0
P2-0395,north,late,north_late,72.52,0
P2-0396,north,late,north_late,27.31,0
P2-0397,north,late,north_late,71.92,1
P2-0398,north,late,north_late,59.85,0
P2-0399,north,late,north_late,54.22,1
P2-0400,north,late,north_late,60.69,1
P2-0401,north,late,north_late,47.34,0
P2-0402,north,late,north_late,40.23,0
P2-0403,north,late,north_late,59.21,1
P2-0404,north,late,north_late,52.13,1
P2-0405,north,late,north_late,76.74,0
P2-0406,north,late,north_late,51.5,0
P2-0407,north,late,north_late,57.45,1
P2-0408,north,late,north_late,56.36,0
P2-0409,north,late,north_late,58.9,1
P2-0410,north,late,north_late,68.08,0
P2-0411,north,late,north_late,48.47,0
P2-0412,north,late,north_late,46.04,1
P2-0413,north,late,north_late,62.28,0
P2-0414,north,late,north_late,54.26,0
P2-0415,north,late,north_late,63.84,0
P2-0416,north,late,north_late,60.22,0
P2-0417,north,late,north_late,49.34,1
P2-0418,north,late,north_late,46.35,1
P2-0419,north,late,north_late,51.71,0
P2-0420,north,late,north_late,62.54,0
P2-0421,north,late,north_late,60.64,1
P2-0422,north,late,north_late,64.03,0
P2-0423,north,late,north_late,71.43,0
P2-0424,north,late,north_late,46.13,0
P2-0425,north,late,north_late,39.5,0
P2-0426,north,late,north_late,78.48,1
P2-0427,north,late,north_late,82.53,0
P2-0428,north,late,north_late,66.73,0
P2-0429,north,late,north_late,65.09,0
P2-0430,north,late,north_late,42.9,1
P2-0431,north,late,north_late,54.64,1
P2-0432,north,late,north_late,68.34,1
P2-0433,north,late,north_late,62.18,1
P2-0434,north,late,north_late,55.87,1
P2-0435,north,late,north_late,70.34,0
P2-0436,north,late,north_late,65.62,0
P2-0437,north,late,north_late,51.2,0
P2-0438,north,late,north_late,68.09,1
P2-0439,north,late,north_late,60.53,1
P2-0440,north,late,north_late,59.68,0
P2-0441,north,late,north_late,46.07,1
P2-0442,north,late,north_late,44.28,1
P2-0443,north,late,north_late,65.62,1
P2-0444,north,late,north_late,46.87,0
P2-0445,north,late,north_late,42.81,0
P2-0446,north,late,north_late,75.38,0
P2-0447,north,late,north_late,50.89,1
P2-0448,north,late,north_late,49.76,0
P2-0449,north,late,north_late,54.25,1
P2-0450,north,late,north_late,77.55,0
P2-0451,north,late,north_late,77.17,0
P2-0452,north,late,north_late,48.38,0
P2-0453,north,late,north_late,84.24,1
P2-0454,north,late,north_late,59.89,0
P2-0455,north,late,north_late,70.42,0
P2-0456,north,late,north_late,58.23,0
P2-0457,north,late,north_late,67.07,0
P2-0458,north,late,north_late,62.27,1
P2-0459,north,late,north_late,72.93,0
P2-0460,north,late,north_late,58.77,0
P2-0461,north,late,north_late,52.64,0
P2-0462,north,late,north_late,55.1,0
P2-0463,north,late,north_late,43.46,1
P2-0464,north,late,north_late,59.94,0
P2-0465,north,late,north_late,64.69,0
P2-0466,north,late,north_late,70.18,0
P2-0467,north,late,north_late,63.12,1
P2-0468,north,late,north_late,68.86,1
P2-0469,north,late,north_late,56.68,0
P2-0470,north,late,north_late,70.28,0
P2-0471,north,late,north_late,60.37,0
P2-0472,north,late,north_late,83.23,0
P2-0473,north,late,north_late,52.88,0
P2-0474,north,late,north_late,55.03,1
P2-0475,north,late,north_late,38.62,0
P2-0476,north,late,north_late,76.15,1
P2-0477,north,late,north_late,61.35,1
P2-0478,north,late,north_late,69.76,1
P2-0479,north,late,north_late,59.19,0
P2-0480,north,late,north_late,70.21,1
P2-0481,north,late,north_late,41.31,0
P2-0482,north,late,north_late,76.75,0
P2-0483,north,late,north_late,58.46,0
P2-0484,north,late,north_late,42.79,1
P2-0485,north,late,north_late,76.28,0
P2-0486,north,late,north_late,53.29,0
P2-0487,north,late,north_late,44.97,0
P2-0488,north,late,north_late,63.9,0
P2-0489,north,late,north_late,72.97,0
P2-0490,north,late,north_late,40.54,0
P2-0491,north,late,north_late,54.1,0
P2-0492,north,late,north_late,63.36,0
P2-0493,north,late,north_late,53.97,0
P2-0494,north,late,north_late,67.63,1
P2-0495,north,late,north_late,60.17,0
P2-0496,north,late,north_late,67.51,1
P2-0497,north,late,north_late,65.31,1
P2-0498,north,late,north_late,57.84,0
P2-0499,north,late,north_late,71.05,0
P2-0500,north,late,north_late,43.72,0
P2-0501,north,late,north_late,40.79,0
P2-0502,north,late,north_late,69.72,0
P2-0503,north,late,north_late,57.75,0
P2-0504,north,late,north_late,55.86,1
P2-0505,north,late,north_late,63.99,1
P2-0506,north,late,north_late,68.13,0
P2-0507,north,late,north_late,80.68,1
P2-0508,north,late,north_late,31.25,0
P2-0509,north,late,north_late,50.44,1
P2-0510,north,late,north_late,75.98,0
P2-0511,north,late,north_late,69.12,0
P2-0512,north,late,north_late,60.86,0
P2-0513,north,late,north_late,61.32,0
P2-0514,north,late,north_late,72.89,0
P2-0515,north,late,north_late,56.7,0
P2-0516,north,late,north_late,74.77,1
P2-0517,north,late,north_late,66.01,0
P2-0518,north,late,north_late,63.45,0
P2-0519,north,late,north_late,49.72,0
P2-0520,north,late,north_late,64.37,1
P2-0521,north,late,north_late,57.26,1
P2-0522,north,late,north_late,62.47,0
P2-0523,north,late,north_late,48.62,1
P2-0524,north,late,north_late,36.14,1
P2-0525,north,late,north_late,66.61,1
P2-0526,north,late,north_late,71.78,0
P2-0527,north,late,north_late,57.47,0
P2-0528,north,late,north_late,67.98,0
P2-0529,north,late,north_late,71.34,0
P2-0530,north,late,north_late,69.62,1
P2-0531,north,late,north_late,64.18,1
P2-0532,north,late,north_late,49.45,0
P2-0533,north,late,north_late,55.58,1
P2-0534,north,late,north_late,58.56,0
P2-0535,north,late,north_late,79.09,0
P2-0536,north,late,north_late,73.19,1
P2-0537,north,late,north_late,38.27,0
P2-0538,north,late,north_late,49.77,1
P2-0539,north,late,north_late,56.22,1
P2-0540,north,late,north_late,80.31,0
P2-0541,north,late,north_late,72.15,0
P2-0542,north,late,north_late,69.03,0
P2-0543,north,late,north_late,72.78,0
P2-0544,north,late,north_late,65.12,0
P2-0545,north,late,north_late,42.59,0
P2-0546,north,late,north_late,71.27,1
P2-0547,north,late,north_late,40.34,1
P2-0548,north,late,north_late,67.12,1
P2-0549,north,late,north_late,69.75,0
P2-0550,north,late,north_late,69.04,0
P2-0551,north,late,north_late,68.73,1
P2-0552,north,late,north_late,61.83,0
P2-0553,north,late,north_late,79.4,1
P2-0554,north,late,north_late,53.33,0
P2-0555,north,late,north_late,75.41,1
P2-0556,north,late,north_late,76.2,1
P2-0557,north,late,north_late,56.71,0
P2-0558,north,late,north_late,45.05,0
P2-0559,north,late,north_late,56.07,0
P2-0560,north,late,north_late,81.91,0
P2-0561,north,late,north_late,60.02,1
P2-0562,north,late,north_late,58.08,0
P2-0563,north,late,north_late,60.66,0
P2-0564,north,late,north_late,63.59,0
P2-0565,north,late,north_late,72.33,0
P2-0566,north,late,north_late,60.05,1
P2-0567,north,late,north_late,52.41,0
P2-0568,north,late,north_late,47.59,0
P2-0569,north,late,north_late,55.55,1
P2-0570,north,late,north_late,40.59,1
P2-0571,north,late,north_late,63.44,0
P2-0572,north,late,north_late,55.75,0
P2-0573,north,late,north_late,62.43,0
P2-0574,north,late,north_late,57.1,0
P2-0575,north,late,north_late,59.81,0
P2-0576,north,late,north_late,68.5,1
P2-0577,north,late,north_late,53.52,1
P2-0578,north,late,north_late,75.6,0
P2-0579,north,late,north_late,45.63,1
P2-0580,north,late,north_late,63.62,1
P2-0581,north,late,north_late,53.51,1
P2-0582,north,late,north_late,49.0,0
P2-0583,north,late,north_late,58.93,1
P2-0584,north,late,north_late,67.59,0
P2-0585,north,late,north_late,63.8,0
P2-0586,north,late,north_late,46.73,0
P2-0587,north,late,north_late,75.96,0
P2-0588,north,late,north_late,64.68,0
P2-0589,north,late,north_late,63.49,0
P2-0590,north,late,north_late,45.27,1
P2-0591,north,late,north_late,75.42,1
P2-0592,north,late,north_late,60.51,0
P2-0593,north,late,north_late,45.59,0
P2-0594,north,late,north_late,73.05,1
P2-0595,north,late,north_late,51.39,1
P2-0596,north,late,north_late,57.81,1
P2-0597,north,late,north_late,52.54,0
P2-0598,north,late,north_late,47.54,0
P2-0599,north,late,north_late,78.46,1
P2-0600,north,late,north_late,43.44,0
P2-0601,north,late,north_late,46.4,1
P2-0602,north,late,north_late,63.3,0
P2-0603,north,late,north_late,70.87,1
P2-0604,north,late,north_late,64.28,0
P2-0605,north,late,north_late,68.38,1
P2-0606,north,late,north_late,65.55,0
P2-0607,north,late,north_late,52.71,1
P2-0608,north,late,north_late,78.47,0
P2-0609,north,late,north_late,53.23,0
P2-0610,north,late,north_late,53.8,0
P2-0611,north,late,north_late,68.19,0
P2-0612,north,late,north_late,46.01,0
P2-0613,north,late,north_late,56.78,0
P2-0614,north,late,north_late,38.7,1
P2-0615,north,late,north_late,62.91,0
P2-0616,north,late,north_late,61.7,0
P2-0617,north,late,north_late,67.68,1
P2-0618,north,late,north_late,66.88,0
P2-0619,north,late,north_late,68.51,0
P2-0620,north,late,north_late,50.52,0
P2-0621,north,late,north_late,45.94,0
P2-0622,north,late,north_late,84.6,0
P2-0623,north,late,north_late,73.82,0
P2-0624,north,late,north_late,53.44,0
P2-0625,north,late,north_late,63.07,0
P2-0626,north,late,north_late,70.2,0
P2-0627,north,late,north_late,64.97,0
P2-0628,north,late,north_late,43.58,0
P2-0629,north,late,north_late,69.0,1
P2-0630,north,late,north_late,54.25,0
P2-0631,north,late,north_late,47.56,0
P2-0632,north,late,north_late,57.3,1
P2-0633,north,late,north_late,64.22,1
P2-0634,north,late,north_late,69.73,0
P2-0635,north,late,north_late,83.93,1
P2-0636,north,late,north_late,60.1,0
P2-0637,north,late,north_late,70.86,1
P2-0638,north,late,north_late,55.77,0
P2-0639,north,late,north_late,85.86,1
P2-0640,north,late,north_late,72.58,0
P2-0641,north,late,north_late,66.65,0
P2-0642,north,late,north_late,89.77,1
P2-0643,north,late,north_late,65.04,1
P2-0644,north,late,north_late,58.49,0
P2-0645,north,late,north_late,53.12,1
P2-0646,north,late,north_late,47.73,1
P2-0647,north,late,north_late,80.5,1
P2-0648,north,late,north_late,59.07,0
P2-0649,north,late,north_late,69.49,0
P2-0650,north,late,north_late,48.73,0
P2-0651,north,late,north_late,78.02,1
P2-0652,north,late,north_late,55.38,0
P2-0653,north,late,north_late,67.63,1
P2-0654,north,late,north_late,52.08,1
P2-0655,north,late,north_late,92.27,1
P2-0656,north,late,north_late,49.78,0
P2-0657,north,late,north_late,90.09,1
P2-0658,north,late,north_late,38.57,0
P2-0659,north,late,north_late,56.91,1
P2-0660,north,late,north_late,64.61,0
P2-0661,north,late,north_late,54.47,0
P2-0662,north,late,north_late,59.46,0
P2-0663,north,late,north_late,75.96,0
P2-0664,north,late,north_late,73.91,1
P2-0665,north,late,north_late,56.48,1
P2-0666,north,late,north_late,39.11,0
P2-0667,north,late,north_late,61.65,1
P2-0668,north,late,north_late,80.59,0
P2-0669,north,late,north_late,47.8,0
P2-0670,north,late,north_late,46.75,0
P2-0671,north,late,north_late,61.67,0
P2-0672,north,late,north_late,64.81,1
P2-0673,north,late,north_late,58.04,0
P2-0674,north,late,north_late,47.85,0
P2-0675,north,late,north_late,49.07,0
P2-0676,north,late,north_late,57.04,0
P2-0677,north,late,north_late,53.3,0
P2-0678,north,late,north_late,50.08,0
P2-0679,north,late,north_late,46.47,1
P2-0680,north,late,north_late,58.33,0
P2-0681,north,late,north_late,50.0,0
P2-0682,north,late,north_late,63.46,0
P2-0683,north,late,north_late,67.99,1
P2-0684,north,late,north_late,75.64,1
P2-0685,north,late,north_late,90.01,0
P2-0686,north,late,north_late,51.45,0
P2-0687,north,late,north_late,70.02,0
P2-0688,north,late,north_late,73.34,0
P2-0689,north,late,north_late,73.3,1
P2-0690,north,late,north_late,62.07,0
P2-0691,north,late,north_late,51.56,0
P2-0692,north,late,north_late,33.84,0
P2-0693,north,late,north_late,57.18,0
P2-0694,north,late,north_late,51.99,1
P2-0695,north,late,north_late,61.74,0
P2-0696,north,late,north_late,52.88,1
P2-0697,north,late,north_late,70.27,0
P2-0698,north,late,north_late,73.15,0
P2-0699,north,late,north_late,63.78,0
P2-0700,north,late,north_late,63.06,1
P3-0001,central,early,central_early,64.35,1
P3-0002,central,early,central_early,58.8,1
P3-0003,central,early,central_early,38.99,1
P3-0004,central,early,central_early,62.94,1
P3-0005,central,early,central_early,41.48,1
P3-0006,central,early,central_early,66.44,1
P3-0007,central,early,central_early,71.87,0
P3-0008,central,early,central_early,58.52,0
P3-0009,central,early,central_early,33.42,0
P3-0010,central,early,central_early,39.44,1
P3-0011,central,early,central_early,66.2,0
P3-0012,central,early,central_early,77.82,1
P3-0013,central,early,central_early,56.9,0
P3-0014,central,early,central_early,59.52,0
P3-0015,central,early,central_early,78.22,1
P3-0016,central,early,central_early,41.23,0
P3-0017,central,early,central_early,52.5,0
P3-0018,central,early,central_early,71.56,0
P3-0019,central,early,central_early,41.03,0
P3-0020,central,early,central_early,51.49,1
P3-0021,central,early,central_early,62.09,0
P3-0022,central,early,central_early,65.66,1
P3-0023,central,early,central_early,59.1,1
P3-0024,central,early,central_early,67.04,1
P3-0025,central,early,central_early,68.67,1
P3-0026,central,early,central_early,61.87,0
P3-0027,central,early,central_early,49.1,1
P3-0028,central,early,central_early,54.69,1
P3-0029,central,early,central_early,83.9,0
P3-0030,central,early,central_early,52.97,1
P3-0031,central,early,central_early,48.23,0
P3-0032,central,early,central_early,59.12,0
P3-0033,central,early,central_early,72.84,1
P3-0034,central,early,central_early,61.92,1
P3-0035,central,early,central_early,69.13,1
P3-0036,central,early,central_early,61.05,0
P3-0037,central,early,central_early,50.08,1
P3-0038,central,early,central_early,63.99,1
P3-0039,central,early,central_early,75.03,1
P3-0040,central,early,central_early,44.59,0
P3-0041,central,early,central_early,61.47,0
P3-0042,central,early,central_early,79.78,1
P3-0043,central,early,central_early,50.47,0
P3-0044,central,early,central_early,48.37,0
P3-0045,central,early,central_early,76.04,0
P3-0046,central,early,central_early,66.03,1
P3-0047,central,early,central_early,58.79,0
P3-0048,central,early,central_early,36.5,0
P3-0049,central,early,central_early,66.93,1
P3-0050,central,early,central_early,63.55,1
P3-0051,central,early,central_early,23.62,0
P3-0052,central,early,central_early,65.99,1
P3-0053,central,early,central_early,50.94,0
P3-0054,central,early,central_early,48.86,0
P3-0055,central,early,central_early,66.3,0
P3-0056,central,early,central_early,56.18,1
P3-0057,central,early,central_early,44.45,1
P3-0058,central,early,central_early,57.82,1
P3-0059,central,early,central_early,83.4,1
P3-0060,central,early,central_early,63.31,0
P3-0061,central,early,central_early,64.0,1
P3-0062,central,early,central_early,40.05,1
P3-0063,central,early,central_early,57.19,1
P3-0064,central,early,central_early,68.11,0
P3-0065,central,early,central_early,57.02,0
P3-0066,central,early,central_early,61.02,0
P3-0067,central,early,central_early,77.0,1
P3-0068,central,early,central_early,46.34,0
P3-0069,central,early,central_early,67.32,0
P3-0070,central,early,central_early,62.02,1
P3-0071,central,early,central_early,54.71,1
P3-0072,central,early,central_early,72.13,1
P3-0073,central,early,central_early,53.2,0
P3-0074,central,early,central_early,58.84,1
P3-0075,central,early,central_early,53.95,0
P3-0076,central,early,central_early,53.4,0
P3-0077,central,early,central_early,47.67,0
P3-0078,central,early,central_early,41.3,0
P3-0079,central,early,central_early,55.72,0
P3-0080,central,early,central_early,81.18,1
P3-0081,central,early,central_early,46.69,1
P3-0082,central,early,central_early,72.73,1
P3-0083,central,early,central_early,67.81,1
P3-0084,central,early,central_early,54.0,0
P3-0085,central,early,central_early,53.97,1
P3-0086,central,early,central_early,50.38,1
P3-0087,central,early,central_early,48.05,1
P3-0088,central,early,central_early,84.66,1
P3-0089,central,early,central_early,37.6,1
P3-0090,central,early,central_early,44.13,0
P3-0091,central,early,central_early,61.12,0
P3-0092,central,early,central_early,62.04,0
P3-0093,central,early,central_early,56.28,0
P3-0094,central,early,central_early,41.26,0
P3-0095,central,early,central_early,31.24,1
P3-0096,central,early,central_early,51.05,0
P3-0097,central,early,central_early,70.6,1
P3-0098,central,early,central_early,57.53,0
P3-0099,central,early,central_early,51.81,1
P3-0100,central,early,central_early,51.91,1
P3-0101,central,early,central_early,50.26,0
P3-0102,central,early,central_early,61.63,0
P3-0103,central,early,central_early,37.47,0
P3-0104,central,early,central_early,53.1,0
P3-0105,central,early,central_early,58.63,0
P3-0106,central,early,central_early,42.75,0
P3-0107,central,early,central_early,67.62,0
P3-0108,central,early,central_early,38.06,1
P3-0109,central,early,central_early,59.13,1
P3-0110,central,early,central_early,53.53,0
P3-0111,central,early,central_early,51.75,0
P3-0112,central,early,central_early,65.37,1
P3-0113,central,early,central_early,59.0,1
P3-0114,central,early,central_early,72.77,1
P3-0115,central,early,central_early,56.66,0
P3-0116,central,early,central_early,54.17,1
P3-0117,central,early,central_early,63.04,0
P3-0118,central,early,central_early,58.66,0
P3-0119,central,early,central_early,47.59,0
P3-0120,central,early,central_early,62.83,0
P3-0121,central,early,central_early,60.32,1
P3-0122,central,early,central_early,50.55,0
P3-0123,central,early,central_early,46.24,0
P3-0124,central,early,central_early,69.97,1
P3-0125,central,early,central_early,64.78,1
P3-0126,central,early,central_early,41.75,0
P3-0127,central,early,central_early,35.1,0
P3-0128,central,early,central_early,73.29,1
P3-0129,central,early,central_early,48.05,0
P3-0130,central,early,central_early,56.76,0
P3-0131,central,early,central_early,41.63,1
P3-0132,central,early,central_early,46.88,0
P3-0133,central,early,central_early,67.12,1
P3-0134,central,early,central_early,79.28,0
P3-0135,central,early,central_early,43.07,0
P3-0136,central,early,central_early,55.81,0
P3-0137,central,early,central_early,53.53,0
P3-0138,central,early,central_early,49.49,1
P3-0139,central,early,central_early,58.42,0
P3-0140,central,early,central_early,59.38,1
P3-0141,central,early,central_early,70.44,1
P3-0142,central,early,central_early,67.71,1
P3-0143,central,early,central_early,60.74,0
P3-0144,central,early,central_early,62.53,0
P3-0145,central,early,central_early,67.94,1
P3-0146,central,early,central_early,43.46,0
P3-0147,central,early,central_early,51.07,0
P3-0148,central,early,central_early,53.48,1
P3-0149,central,early,central_early,46.09,0
P3-0150,central,early,central_early,47.86,1
P3-0151,central,early,central_early,51.57,1
P3-0152,central,early,central_early,60.29,0
P3-0153,central,early,central_early,71.43,0
P3-0154,central,early,central_early,74.4,0
P3-0155,central,early,central_early,47.43,1
P3-0156,central,early,central_early,64.25,0
P3-0157,central,early,central_early,62.03,1
P3-0158,central,early,central_early,70.36,1
P3-0159,central,early,central_early,55.9,0
P3-0160,central,early,central_early,61.39,1
P3-0161,central,early,central_early,59.3,0
P3-0162,central,early,central_early,59.25,1
P3-0163,central,early,central_early,60.58,1
P3-0164,central,early,central_early,53.38,1
P3-0165,central,early,central_early,75.35,1
P3-0166,central,early,central_early,37.41,0
P3-0167,central,early,central_early,60.19,0
P3-0168,central,early,central_early,65.36,1
P3-0169,central,early,central_early,57.34,1
P3-0170,central,early,central_early,65.57,1
P3-0171,central,early,central_early,68.76,1
P3-0172,central,early,central_early,61.46,1
P3-0173,central,early,central_early,46.19,0
P3-0174,central,early,central_early,53.37,1
P3-0175,central,early,central_early,53.11,0
P3-0176,central,early,central_early,67.53,0
P3-0177,central,early,central_early,51.41,1
P3-0178,central,early,central_early,61.74,0
P3-0179,central,early,central_early,31.71,0
P3-0180,central,early,central_early,70.67,1
P3-0181,central,early,central_early,63.67,0
P3-0182,central,early,central_early,63.24,0
P3-0183,central,early,central_early,59.81,1
P3-0184,central,early,central_early,43.98,1
P3-0185,central,early,central_early,59.3,0
P3-0186,central,early,central_early,61.78,1
P3-0187,central,early,central_early,68.08,1
P3-0188,central,early,central_early,50.1,0
P3-0189,central,early,central_early,85.76,1
P3-0190,central,early,central_early,57.53,1
P3-0191,central,early,central_early,52.8,0
P3-0192,central,early,central_early,48.24,1
P3-0193,central,early,central_early,55.98,1
P3-0194,central,early,central_early,59.4,1
P3-0195,central,early,central_early,58.18,1
