person_id,satisfaction,weekly_use
P4-0475,53.6,0.9
P4-0481,42.34,7.2
P4-0488,42.57,4.8
P4-0491,75.53,4.1
P4-0499,55.6,6.1
P4-0504,38.96,5.1
P4-0506,37.98,4.9
P4-0508,58.07,6.9
P4-0509,31.13,6.4
P4-0510,47.51,2.6
P4-0511,79.41,4.3
P4-0515,52.21,7.7
P4-0516,71.89,2.9
P4-0522,57.76,4.7
P4-0523,55.01,4.1
P4-0526,55.07,2.8
P4-0535,51.6,0.2
P4-0536,42.49,5.3
P4-0539,47.12,5.8
P4-0542,42.55,4.1
P4-0545,53.1,5.4
P4-0547,59.6,2.0
P4-0552,76.77,8.5
P4-0560,55.8,5.0
P4-0566,42.62,2.2
P4-0567,54.46,3.5
P4-0569,68.66,3.6
P4-0576,57.68,4.8
P4-0582,67.67,3.9
P4-0589,68.9,2.9
P4-0591,54.29,3.4
P4-0592,45.02,4.3
P4-0597,58.16,4.2
P4-0598,53.95,5.1
P4-0599,60.76,4.0
P4-0605,48.77,5.2
P4-0610,55.84,0.3
P4-0614,57.84,5.7
P4-0616,57.13,9.2
P4-0617,50.54,5.3
P4-0619,9.46,6.7
P4-0624,43.6,5.5
P4-0627,60.69,2.8
P4-0628,48.28,3.4
P4-0630,74.23,0.5
P4-0634,50.81,5.0
P4-0645,50.69,2.6
P4-0647,50.01,6.1
P4-0648,78.02,0.1
P4-0649,72.61,4.6
P4-0650,64.67,3.3
P4-0652,50.02,3.2
P4-0655,38.48,2.2
P4-0660,35.83,1.8
P4-0663,75.13,3.2
P4-0667,77.49,5.8
P4-0668,66.3,2.3
P4-0671,59.98,2.6
P4-0675,59.71,2.2
P4-0684,58.33,0.7
P4-0688,62.07,7.0
P4-0695,42.56,4.2
P4-0696,61.56,3.8
P4-0698,56.81,8.2
P4-0705,56.31,1.5
P4-0715,49.58,5.9
P4-0718,34.75,5.3
P4-0719,61.76,2.6
P4-0725,53.55,3.0
P4-0726,58.29,3.4
P4-0728,36.04,1.7
P4-0730,50.49,8.2
P4-0733,52.62,4.8
P4-0734,34.01,4.0
P4-0740,78.95,3.1
P4-0743,59.4,2.5
P4-0749,47.87,5.4
P4-0763,24.07,3.5
P4-0769,36.08,3.8
P4-0770,51.87,3.8
P4-0771,23.11,2.8
P4-0776,67.76,4.4
P4-0780,36.04,2.9
P4-0785,40.45,5.0
P4-0786,48.93,2.6
P4-0790,63.76,4.5
P4-0791,57.18,6.3
P4-0792,65.2,5.1
P4-0797,38.74,1.7
P5-0001,19.7,2.6
P5-0004,37.63,4.4
P5-0005,84.5,5.5
P5-0006,39.8,3.9
P5-0012,34.37,3.2
P5-0014,40.85,6.7
P5-0018,54.57,5.9
P5-0020,72.2,0
P5-0022,32.49,9.3
P5-0026,67.9,2.5
P5-0029,8.33,3.7
P5-0031,49.34,3.5
P5-0033,50.97,2.6
P5-0035,50.42,2.8
P5-0036,54.82,6.2
P5-0037,43.51,2.7
P5-0039,35.17,4.9
P5-0041,39.78,0
P5-0044,43.04,3.8
P5-0047,58.51,4.1
P5-0048,26.68,9.0
P5-0049,8.64,2.7
P5-0053,49.41,4.4
P5-0054,59.91,7.5
P5-0056,34.02,5.9
P5-0057,27.47,2.5
P5-0059,39.85,3.0
P5-0060,64.06,1.6
P5-0061,25.48,9.2
P5-0064,47.02,3.4
P5-0071,41.28,3.9
P5-0080,69.62,1.3
P5-0081,59.76,7.6
P5-0083,62.69,3.0
P5-0085,62.56,3.3
P5-0087,60.27,2.2
P5-0088,43.92,6.0
P5-0090,53.49,5.5
P5-0096,11.57,1.9
P5-0104,47.25,4.1
P5-0109,57.26,3.0
P5-0110,73.36,5.9
P5-0112,24.28,8.0
P5-0114,49.85,4.7
P5-0117,32.66,4.6
P5-0118,77.7,2.1
P5-0121,42.66,3.0
P5-0123,23.17,1.7
P5-0124,47.03,4.0
P5-0129,35.84,7.5
P5-0131,54.53,3.8
P5-0137,40.36,7.2
P5-0139,47.2,5.9
P5-0141,64.02,0
P5-0143,52.72,0.8
P5-0144,54.62,4.0
P5-0148,47.64,1.4
P5-0149,32.34,4.1
P5-0152,17.05,6.2
P5-0153,38.94,4.2
P5-0155,21.02,6.3
P5-0156,33.07,4.4
P5-0158,55.88,2.9
P5-0160,23.0,4.1
P5-0165,45.0,3.1
P5-0166,58.68,3.9
P5-0167,47.0,7.2
P5-0173,55.69,2.1
P5-0174,49.17,1.4
P5-0175,44.71,6.8
P5-0182,59.16,0
P5-0184,26.25,2.8
P5-0191,29.53,1.7
P5-0192,50.08,2.3
P5-0194,39.01,1.4
P5-0197,49.66,1.2
P5-0198,46.31,5.6
P5-0199,30.51,4.6
P5-0202,29.48,1.9
P5-0203,46.51,5.9
P5-0206,36.57,2.6
P5-0210,40.86,4.0
P5-0211,49.19,2.1
P5-0214,58.17,5.5
P5-0215,51.18,1.7
P5-0223,38.29,2.8
P5-0229,20.17,3.3
P5-0230,37.38,0
P5-0233,52.46,3.8
P5-0237,51.5,5.0
P5-0242,80.53,9.2
P5-0245,29.02,7.1
P5-0251,50.94,1.5
P5-0252,48.87,4.3
P5-0261,55.21,6.9
P5-0267,43.45,3.9
P5-0270,19.79,2.9
P5-0271,73.94,5.4
P5-0272,57.42,3.0
P5-0274,76.52,2.6
P5-0276,41.03,3.6
P5-0277,63.21,6.1
P5-0278,48.02,3.7
P5-0282,32.49,8.8
P5-0287,42.87,3.5
P5-0288,49.4,0.7
P5-0289,58.06,0.5
P5-0290,65.25,4.2
P5-0291,58.32,1.7
P5-0293,34.15,1.1
P5-0295,40.3,1.3
P5-0296,63.33,3.2
P5-0298,42.9,4.8
P5-0300,52.48,5.1
P5-0301,49.22,4.4
P5-0307,64.62,5.0
P5-0308,44.08,3.3
P5-0311,63.3,2.9
P5-0315,23.64,3.6
P5-0317,60.26,5.7
P5-0318,56.13,0.7
P5-0319,39.02,7.8
P5-0323,37.76,4.7
P5-0325,33.26,2.4
P5-0326,38.26,1.8
P5-0327,23.29,1.8
P5-0329,39.82,7.2
P5-0335,68.7,4.0
P5-0336,72.36,3.8
P5-0339,44.83,0
P5-0341,33.52,3.5
P5-0342,41.43,6.5
P5-0344,84.92,3.0
P5-0345,39.41,4.6
P5-0348,29.76,1.9
P5-0351,36.57,5.5
P5-0357,49.46,0
P5-0359,36.62,3.6
P5-0365,60.57,2.0
P5-0369,13.38,1.3
P5-0371,53.17,4.5
P5-0372,52.29,3.9
P5-0373,69.8,3.9
P5-0374,33.92,4.5
P5-0376,35.25,0.2
P5-0379,67.36,1.2
P5-0380,30.51,2.6
P5-0381,48.82,3.9
P5-0382,35.47,4.7
P5-0384,67.26,7.0
P5-0385,76.13,2.3
P5-0395,58.54,4.7
P5-0397,59.67,4.5
P5-0399,64.57,7.1
P5-0401,37.08,1.8
P5-0402,35.17,5.7
P5-0403,55.62,5.8
P5-0406,51.95,1.0
P5-0408,38.36,8.6
P5-0409,64.41,5.2
P5-0415,54.8,1.8
P5-0417,39.48,4.6
P5-0423,36.98,3.1
P5-0429,31.75,3.1
P5-0431,42.51,4.0
P5-0433,63.17,2.4
P5-0437,78.79,2.2
P5-0440,20.05,6.0
P5-0445,56.2,7.5
P5-0454,52.24,2.0
P5-0455,62.91,3.5
P5-0456,54.49,4.9
P5-0459,16.61,7.1
P5-0461,37.84,4.0
P5-0464,17.77,5.6
P5-0465,71.96,2.7
P5-0466,62.92,3.2
P5-0470,46.28,7.6
P5-0471,34.9,4.9
P5-0472,55.84,4.4
P5-0473,70.98,3.7
P5-0476,35.6,1.5
P5-0479,42.71,6.0
P5-0483,60.4,3.0
P5-0485,40.32,3.9
P5-0488,55.95,3.1
P5-0491,60.17,5.1
P5-0494,8.11,1.5
P5-0495,71.31,1.8
P5-0496,54.75,4.7
P5-0498,58.0,4.0
P5-0514,95.27,4.2
P5-0516,43.37,6.2
P5-0527,33.04,4.3
P5-0531,49.17,5.0
P5-0533,38.03,5.9
P5-0534,55.83,4.4
P5-0539,33.8,4.2
P5-0547,30.93,3.4
P5-0548,54.87,5.7
P5-0549,44.19,2.2
P5-0550,43.61,3.7
P6-0019,37.31,2.5
P6-0056,52.8,6.3
P6-0066,63.89,3.2
P6-0076,65.62,6.5
P6-0081,56.83,4.1
P6-0086,45.01,6.3
P6-0090,48.3,2.7
P6-0094,31.67,7.5
P6-0095,19.55,2.1
P6-0100,46.64,4.3
P6-0106,51.24,5.4
P6-0109,41.87,5.1
P6-0115,54.9,4.9
P6-0137,54.66,0.9
P6-0141,52.47,3.4
P6-0147,61.69,4.6
P6-0163,39.11,5.6
P6-0167,54.73,6.9
P6-0168,59.28,9.0
P6-0169,53.33,4.5
P6-0170,59.87,5.7
P6-0186,20.88,1.8
P6-0190,44.5,4.1
P6-0192,45.4,7.9
P6-0206,35.97,8.1
P6-0214,45.13,5.0
P6-0226,60.98,5.0
P6-0232,59.14,3.3
P6-0248,53.36,3.3
P6-0253,68.59,3.3
P6-0259,56.63,4.5
P6-0262,29.48,2.5
P6-0275,66.65,4.9
P6-0277,64.75,6.3
P6-0291,47.01,2.1
P6-0300,34.54,5.6
P6-0310,41.51,2.6
P6-0311,58.91,6.5
P6-0326,71.6,5.5
P6-0340,39.43,5.8
P6-0350,26.14,0.6
P6-0355,40.58,5.0
P6-0373,36.84,4.3
P6-0378,38.06,6.6
P6-0392,67.67,1.2
P6-0393,87.62,3.9
P6-0406,30.83,2.4
P6-0412,67.78,2.7
P6-0417,56.8,2.1
P6-0419,63.46,5.8
P6-0425,52.49,4.8
P6-0431,17.57,4.5
P6-0437,50.22,5.3
P6-0442,51.82,1.8
P6-0445,45.76,2.4
